Chr	Mid	DCHpM
1	6515	0.0584
1	6518.5	0.08
1	6519	0.0516
1	6519.5	0.0584
1	6520	0.08
1	6520.5	0.08
1	6527	0.0628
1	6527.5	0.08
1	6528	0.0516
1	6533	0.08
1	6536	0.08
1	6674	0.0584
1	6697.5	0.0516
1	6981.5	0.0516
1	7023.5	0.08
1	7043.5	0.0516
1	7065	0.0584
1	7137	0.08
1	9216	0.0628
1	9236.5	0.0628
1	9237	0.0584
1	9249	0.0806
1	9253.5	0.0628
1	9254	0.08
1	9257	0.0516
1	9258	0.0584
1	9259	0.0584
1	9260.5	0.08
1	9261.5	0.0628
1	9262	0.1254
1	9263.5	0.1968
1	9264	0.0806
1	9264.5	0.16
1	9265	0.3366
1	9265.5	0.2926
1	9266.5	0.0584
1	9267	0.2062
1	9270.5	0.0516
1	9273.5	0.0584
1	9277.5	0.0628
1	9278.5	0.08
1	9280.5	0.1546
1	9281	0.2464
1	9281.5	0.235
1	9283.5	0.08
1	9285	0.0584
1	9295	0.0516
1	9299.5	0.0584
1	9300.5	0.0516
1	9306	0.0628
1	9306.5	0.0584
1	9307.5	0.1254
1	9308	0.2122
1	9308.5	0.0584
1	9309	0.0584
1	9311.5	0.0584
1	9312	0.08
1	9315.5	0.0806
1	9323.5	0.0516
1	9325.5	0.0806
1	9326	0.0628
1	9326.5	0.183
1	9327	0.0516
1	9329.5	0.103
1	9334.5	0.103
1	9335	0.1254
1	9335.5	0.1752
1	9343	0.0628
1	9343.5	0.0516
1	9360	0.0584
1	9395	0.0628
1	9399.5	0.08
1	9400	0.103
1	9429	0.0584
1	9501.5	0.0584
1	9507.5	0.0628
1	9534	0.08
1	9534.5	0.0516
1	9562.5	0.0628
1	9613.5	0.08
1	9689	0.1254
1	9989.5	0.0516
1	11137.5	0.0516
1	11149.5	0.1168
1	11151.5	0.0584
1	11160.5	0.1432
1	11189.5	0.0628
1	20632.5	0.0516
1	20635	0.0516
1	20816.5	0.0516
1	20817	0.139
1	20817.5	0.0628
1	20821.5	0.0584
1	20822.5	0.0516
1	20823	0.0628
1	20824	0.0516
1	20839.5	0.0584
1	20863.5	0.0584
1	20966	0.0516
1	20970	0.0516
1	23734	0.0516
1	28242	0.0628
1	28302.5	0.08
1	28329	0.0516
1	28396	0.0584
1	28508	0.08
1	28537	0.08
1	28537.5	0.0628
1	28538	0.08
1	28565	0.08
1	28565.5	0.0584
1	28566.5	0.08
1	28569.5	0.08
1	28584	0.08
1	28586	0.103
1	28587	0.553
1	28587.5	0.0516
1	28588	0.0584
1	28589	0.0584
1	28625.5	0.0516
1	28630	0.0628
1	28648.5	0.1144
1	28649	0.08
1	28652	0.1384
1	28655.5	0.08
1	28656.5	0.0584
1	28657	0.2758
1	28657.5	0.1838
1	28658	1.1382
1	28658.5	0.2912
1	28668	0.1254
1	28703.5	0.0806
1	28707	0.0516
1	28708	0.0516
1	28708.5	0.132
1	28709	0.0584
1	28711	0.257
1	28711.5	0.0628
1	28716	0.08
1	28716.5	0.0584
1	28717	0.161
1	28717.5	0.322
1	28718	0.3042
1	28718.5	0.0516
1	28719	0.11
1	28719.5	0.1384
1	28720.5	0.1614
1	28722	0.0584
1	28722.5	0.1428
1	28723	0.08
1	28723.5	0.1212
1	28724	0.0806
1	28725	0.2406
1	28726	0.403
1	28726.5	0.0516
1	28729	0.11
1	28729.5	0.1428
1	28730	0.1316
1	28730.5	0.2706
1	28731	0.1614
1	28731.5	0.2638
1	28732	0.08
1	28733.5	0.3442
1	28734	0.0516
1	28734.5	0.0516
1	28735	0.0584
1	28736	0.1254
1	28737	0.1546
1	28738.5	0.0584
1	28739	0.0584
1	28739.5	0.0628
1	28750	0.0806
1	28751	0.0516
1	28752.5	0.103
1	28755.5	0.2346
1	28756	0.0516
1	28756.5	0.0628
1	28757.5	0.0516
1	28789.5	0.0584
1	28833	0.0516
1	28833.5	0.103
1	28834	0.08
1	28837	0.0584
1	28867.5	0.08
1	29876	0.0516
1	30023	0.1316
1	30023.5	0.1614
1	30024.5	0.0584
1	30026	0.0584
1	30027	0.6946
1	30027.5	0.1682
1	30030	0.0584
1	30030.5	0.3
1	30031.5	0.08
1	31037	0.0584
1	31261	0.0628
1	31479.5	0.0516
1	32631.5	0.0584
1	32795	0.0628
1	32816	0.0584
1	32830.5	0.0806
1	32950.5	0.0584
1	32953.5	0.0628
1	32954.5	0.08
1	32955	0.0584
1	32955.5	0.1032
1	32956	0.11
1	32957	0.2644
1	32957.5	0.11
1	32958	0.0628
1	32959	0.1606
1	32965	0.1384
1	32969.5	0.1772
1	32970	0.2822
1	32970.5	0.0584
1	32971.5	0.1428
1	32973	0.2466
1	32973.5	0.177
1	32974	0.3488
1	32974.5	0.3968
1	32975	0.0516
1	32975.5	0.08
1	32976	0.11
1	32976.5	0.0516
1	32977	0.139
1	32981	0.1728
1	32982.5	0.0584
1	32983	0.0584
1	32985.5	0.0806
1	32987.5	0.11
1	32988	0.0628
1	32988.5	0.0584
1	32991	0.1752
1	32991.5	0.0584
1	32992	0.213
1	32993	0.0516
1	32995.5	0.1212
1	32998.5	0.2916
1	32999	0.5196
1	32999.5	0.2484
1	33000	0.0628
1	33000.5	0.2422
1	33005	0.0584
1	33008.5	0.0806
1	33009	0.0628
1	33018.5	0.3628
1	33020	0.0516
1	33023	0.219
1	33024	0.241
1	33029.5	0.0806
1	33031.5	0.0806
1	33047	0.103
1	33047.5	0.1384
1	33050.5	0.0584
1	33083.5	0.08
1	33132.5	0.0584
1	33133	0.1546
1	33133.5	0.0516
1	33138	0.2714
1	33138.5	0.0584
1	33141.5	0.08
1	33147	0.0516
1	33148.5	0.0584
1	33156.5	0.0516
1	33187	0.0628
1	33211.5	0.1254
1	34445.5	0.0628
1	34585.5	0.0628
1	34602.5	0.0516
1	34628.5	0.08
1	34630.5	0.08
1	34632	0.0516
1	34634	0.08
1	34641.5	0.0584
1	34764	0.08
1	34810	0.0584
1	34826	0.0628
1	34832.5	0.0628
1	34835	0.0584
1	34837.5	0.19
1	34840.5	0.0584
1	34844.5	0.0806
1	34845.5	0.1682
1	34856	0.0516
1	34856.5	0.0584
1	34890	0.08
1	34894	0.183
1	34895	0.0516
1	34898.5	0.0584
1	34899.5	0.1032
1	34900	0.11
1	34900.5	0.0516
1	34901	0.2352
1	34901.5	0.0806
1	34902	0.08
1	34902.5	0.1168
1	34903.5	0.11
1	34904.5	0.0628
1	34905	0.19
1	34905.5	0.4588
1	34906	0.0516
1	34906.5	0.0628
1	34908	0.1316
1	34908.5	0.0584
1	34909	0.0584
1	34910	0.1144
1	34910.5	0.0584
1	34911	0.4592
1	34911.5	0.4736
1	34913	0.0516
1	34914.5	0.2398
1	34915	0.2242
1	34915.5	0.0628
1	34916.5	0.0628
1	34917	0.2016
1	34917.5	0.0584
1	34922.5	0.322
1	34923	0.1974
1	34923.5	0.08
1	34924.5	0.1316
1	34927	0.0584
1	34928	0.2756
1	34928.5	0.242
1	34929	0.5104
1	34929.5	1.3692
1	34930	0.238
1	34930.5	0.0628
1	34931	0.2354
1	34931.5	0.3744
1	34932	0.0806
1	34932.5	0.139
1	34933.5	0.161
1	34934	0.1142
1	34935.5	0.1032
1	34936	0.0584
1	34936.5	0.1144
1	34937.5	0.0584
1	34938	0.6744
1	34938.5	0.2174
1	34939	0.3696
1	34939.5	0.3116
1	34940	0.1728
1	34940.5	0.0516
1	34942	0.0516
1	34943.5	0.3384
1	34944	0.2018
1	34944.5	0.4928
1	34945.5	0.1316
1	34946	0.0584
1	34946.5	0.0584
1	34947.5	0.0584
1	34948.5	0.2998
1	34949	0.3004
1	34949.5	0.1836
1	34950	0.2012
1	34950.5	0.103
1	34954	0.103
1	34955.5	0.0806
1	34970.5	0.0806
1	34972.5	0.1316
1	34973.5	0.0516
1	34974	0.1168
1	34976.5	0.0628
1	34977.5	0.0806
1	34978	0.2126
1	34978.5	0.4764
1	34983	0.0628
1	34983.5	0.132
1	34984.5	0.206
1	34985	0.0584
1	34990	0.0516
1	34990.5	0.0516
1	34991	0.0628
1	34991.5	0.0516
1	34992.5	0.2648
1	34993	0.0628
1	34993.5	0.0628
1	34994	0.0628
1	34994.5	0.11
1	34995	0.2378
1	34996	0.0584
1	35001	0.0584
1	35001.5	0.0628
1	35003.5	0.1728
1	35004	0.2466
1	35004.5	0.1906
1	35005	0.0516
1	35005.5	0.2346
1	35006	0.3006
1	35006.5	0.2414
1	35007	0.2354
1	35007.5	0.1384
1	35008	0.0806
1	35008.5	0.0516
1	35009.5	0.103
1	35011	0.0584
1	35011.5	0.19
1	35012	0.2174
1	35012.5	0.3444
1	35013	1.0616
1	35013.5	0.1942
1	35014	0.0584
1	35014.5	0.1212
1	35015	0.0806
1	35016	0.1256
1	35016.5	0.0584
1	35017	0.1614
1	35017.5	0.2778
1	35018	0.2412
1	35020.5	0.0628
1	35021	0.0628
1	35021.5	0.0628
1	35028	0.0516
1	35488.5	0.0584
1	36380	0.0806
1	36399.5	0.0584
1	36421	0.0628
1	36422	0.0516
1	36422.5	0.1728
1	36423.5	0.0806
1	36424	0.0516
1	36424.5	0.1948
1	36425	0.7
1	36425.5	0.0516
1	36426	0.177
1	36426.5	0.0584
1	36429	0.0584
1	36430.5	0.0584
1	36436.5	0.0584
1	36437	0.08
1	36438	0.0628
1	36440.5	0.0584
1	36441	0.0806
1	36443.5	0.0628
1	36444	0.0516
1	36448	0.0516
1	36453	0.0516
1	36461.5	0.0516
1	36462.5	0.08
1	36463.5	0.0584
1	36466	0.0516
1	36466.5	0.08
1	36468	0.1316
1	36468.5	0.2934
1	36469	0.0584
1	36469.5	0.0516
1	36470	0.3504
1	36471	0.2414
1	36471.5	0.103
1	36472	0.2576
1	36475.5	0.0584
1	36476.5	0.6722
1	36477	0.4704
1	36477.5	0.0584
1	36478	0.103
1	36478.5	0.0628
1	36479.5	0.0584
1	36480	0.0584
1	36481	0.0516
1	36483.5	0.0584
1	36484.5	0.0516
1	36515	0.0516
1	36516.5	0.0516
1	36534	0.0584
1	36846	0.0516
1	36950	0.0584
1	37263	0.1384
1	37263.5	0.1142
1	37264	0.0516
1	37264.5	0.1032
1	37268.5	0.0516
1	37272.5	0.0584
1	37273.5	0.0516
1	37290	0.0584
1	37297	0.0806
1	37308	0.0584
1	37310	0.0806
1	37314.5	0.1254
1	37331.5	0.0584
1	37335	0.0516
1	37336	0.08
1	37336.5	0.1384
1	37337.5	0.103
1	37354.5	0.132
1	37355	0.103
1	37365	0.0806
1	37367.5	0.0584
1	37383	0.0628
1	37385.5	0.0584
1	37406	0.0584
1	37410	0.08
1	37424	0.177
1	37426	0.0516
1	37454.5	0.0516
1	37573.5	0.0628
1	38141.5	0.0516
1	38750	0.0584
1	38750.5	0.0516
1	38784	0.0516
1	39032.5	0.0584
1	39048	0.0516
1	39055.5	0.08
1	39058.5	0.139
1	39059.5	0.0584
1	39065	0.0584
1	39065.5	0.0516
1	39070	0.183
1	39077	0.11
1	39078	0.0516
1	39092.5	0.1606
1	39093	0.1032
1	39095	0.103
1	39097	0.08
1	39098.5	0.0516
1	39100	0.206
1	39101.5	0.1384
1	39124.5	0.1316
1	39125	0.1614
1	39125.5	0.2714
1	39126	0.2062
1	39126.5	0.0516
1	39127	0.0628
1	39128.5	0.0516
1	39129	0.103
1	39129.5	0.0584
1	39131	0.11
1	39131.5	0.0516
1	39132	0.11
1	39145.5	0.0516
1	39146	0.1144
1	39147	0.0584
1	39150	0.11
1	39152	0.0516
1	39153	0.0584
1	39154	0.1316
1	39155	0.08
1	39155.5	0.0516
1	39156	0.0806
1	39157.5	0.0516
1	39179.5	0.103
1	39433	0.0516
1	42037.5	0.0584
1	42046	0.0584
1	42047	0.103
1	42269	0.0584
1	42346.5	0.0628
1	42350.5	0.08
1	42355.5	0.0516
1	42435.5	0.0584
1	42457	0.0516
1	42489.5	0.08
1	42499	0.103
1	42501	0.1684
1	42533.5	0.0806
1	42543	0.1168
1	42560	0.103
1	42564	0.0628
1	42564.5	0.1032
1	42575	0.0516
1	42579.5	0.1882
1	42591	0.103
1	42592.5	0.1254
1	42618	0.0516
1	42623	0.213
1	42623.5	0.2636
1	42625	0.0516
1	42637.5	0.0516
1	42640	0.0516
1	42642.5	0.0584
1	42646.5	0.1882
1	42648	0.11
1	42648.5	0.103
1	42650.5	0.0628
1	42656	0.0584
1	42660	0.2172
1	42660.5	0.1254
1	42662.5	0.0628
1	42668	0.1614
1	42668.5	0.0628
1	42676.5	0.0516
1	42679.5	0.0584
1	42707	0.0516
1	42708.5	0.0516
1	42712	0.08
1	42714	0.0516
1	42714.5	0.1614
1	42716	0.1948
1	42716.5	0.1144
1	42717	0.2242
1	42724	0.0584
1	42731.5	0.0516
1	42740.5	0.0584
1	42767.5	0.0584
1	42769	0.0628
1	42771	0.161
1	42773	0.0516
1	42775	0.0806
1	42781.5	0.08
1	42842.5	0.0584
1	42897	0.0516
1	43085	0.0516
1	45142.5	0.0628
1	45238	0.0516
1	45261	0.0516
1	45266.5	0.0584
1	45269.5	0.0628
1	45274.5	0.08
1	45276.5	0.08
1	45277	0.1316
1	45279.5	0.0516
1	45280	0.1316
1	45440	0.0516
1	45459.5	0.08
1	45505.5	0.11
1	45512.5	0.0584
1	45526.5	0.08
1	45527.5	0.139
1	45548	0.11
1	45551.5	0.0516
1	45555	0.0584
1	45556	0.1168
1	45560	0.0516
1	45561	0.0584
1	45563.5	0.0516
1	45567	0.103
1	45586	0.08
1	45587	0.0584
1	45592	0.0806
1	45597.5	0.2416
1	45605	0.1546
1	45605.5	0.0806
1	45607	0.2062
1	45610.5	0.0516
1	45611.5	0.1614
1	45612	0.0516
1	45612.5	0.0516
1	45613.5	0.0516
1	45614	0.0806
1	45615.5	0.0516
1	45616	0.08
1	45617	0.139
1	45618	0.0516
1	45619	0.1684
1	45619.5	0.0584
1	45620	0.103
1	45622	0.0628
1	45626	0.0584
1	45628.5	0.0516
1	45634	0.0516
1	45636.5	0.0628
1	45646	0.0516
1	45647	0.0516
1	45659.5	0.0584
1	48368	0.103
1	48369.5	0.1168
1	48370.5	0.1212
1	48372	0.0516
1	48373.5	0.1168
1	48382	0.11
1	48382.5	0.0584
1	48383	0.0806
1	48383.5	0.0584
1	48387	0.08
1	48387.5	0.0516
1	48394	0.0628
1	48402.5	0.0584
1	48403.5	0.103
1	48416	0.1658
1	48419	0.0516
1	48424	0.0516
1	48428.5	0.0516
1	48429	0.0584
1	48434	0.0584
1	48436.5	0.183
1	48440.5	0.0516
1	48441	0.183
1	48441.5	0.3024
1	48442	0.166
1	48442.5	0.08
1	48449	0.0516
1	48451	0.0584
1	48452	0.0584
1	48468.5	0.103
1	52675	0.0628
1	52677.5	0.08
1	52679	0.0628
1	52693.5	0.1384
1	52695.5	0.0516
1	52728	0.242
1	52729.5	0.0516
1	52730	0.0584
1	52756.5	0.4102
1	52757	0.0628
1	53362	0.0584
1	53486.5	0.0628
1	54829.5	0.0584
1	54839.5	0.0516
1	56923.5	0.0584
1	56931.5	0.0584
1	57410.5	0.08
1	57423	0.0584
1	57424	0.103
1	57477	0.103
1	57478	0.0584
1	57496.5	0.0516
1	57497	0.2756
1	57497.5	0.0628
1	57512	0.0516
1	57555	0.0516
1	57604	0.0516
1	57619.5	0.0628
1	57723.5	0.0516
1	57725	0.0516
1	57725.5	0.0516
1	58465	0.1316
1	58468	0.0584
1	58470.5	0.0516
1	58484.5	0.0584
1	58485	0.0584
1	58497.5	0.103
1	58500	0.08
1	58501	0.0584
1	58505.5	0.0628
1	58524.5	0.0516
1	58525	0.0516
1	58527.5	0.1832
1	58528	0.0516
1	58529	0.1316
1	58529.5	0.0516
1	58530	0.08
1	58530.5	0.677
1	58531	0.19
1	58531.5	0.1616
1	58532	0.4252
1	58532.5	2.042
1	58533	1.6988
1	58533.5	0.3514
1	58534.5	0.1612
1	58536	0.0584
1	58538	0.0516
1	58539.5	0.103
1	58540.5	0.11
1	58542.5	0.0584
1	58543	0.139
1	58543.5	0.1316
1	58545	0.177
1	58546	0.0628
1	58546.5	0.1168
1	58547	0.242
1	58547.5	0.1974
1	58548	0.24
1	58548.5	0.2242
1	58549	0.0516
1	58549.5	0.0806
1	58550	0.3554
1	58550.5	0.3436
1	58551	0.206
1	58551.5	0.1546
1	58552	0.6454
1	58552.5	0.8134
1	58553	0.5752
1	58553.5	0.3066
1	58554	0.1322
1	58554.5	0.2346
1	58562.5	0.0584
1	58563	0.0584
1	58563.5	0.0516
1	58566	0.0584
1	58575	0.1212
1	58581.5	0.1168
1	58595	0.0628
1	58595.5	0.1546
1	58601	0.0516
1	58601.5	0.0516
1	58605	0.0584
1	58607	0.0584
1	58610.5	0.08
1	58611.5	0.177
1	58613.5	0.0628
1	58626.5	0.0516
1	58628.5	0.0584
1	58629	0.0806
1	58629.5	0.11
1	58630	0.0584
1	58630.5	0.1168
1	58644.5	0.0516
1	58651	0.0584
1	58653	0.103
1	58654	0.0516
1	59310.5	0.0584
1	60010.5	0.0516
1	61064	0.0584
1	61097	0.0584
1	61117	0.0516
1	61118.5	0.195
1	61119	0.316
1	61119.5	0.1168
1	61120.5	0.1316
1	61121	0.2352
1	61121.5	0.0516
1	61142	0.0516
1	61148.5	0.1546
1	61151.5	0.0806
1	61152	0.0806
1	61154	0.1256
1	61154.5	0.1316
1	61157.5	0.103
1	61159.5	0.11
1	61160	0.19
1	61160.5	0.305
1	61161	0.2012
1	61161.5	0.2018
1	61162	0.1322
1	61162.5	0.2872
1	61163	0.0516
1	61163.5	0.3156
1	61164	0.415
1	61164.5	0.1832
1	61165	0.19
1	61165.5	0.3874
1	61166	0.4214
1	61166.5	0.2982
1	61167	1.0022
1	61167.5	0.458
1	61168	1.2486
1	61168.5	0.9424
1	61169	1.6062
1	61169.5	1.1284
1	61170	0.7736
1	61170.5	0.9154
1	61171	0.5764
1	61171.5	0.7584
1	61172	0.5054
1	61172.5	0.6786
1	61173	0.3574
1	61173.5	0.8134
1	61174	0.5872
1	61174.5	0.683
1	61175	0.7916
1	61175.5	0.6522
1	61176	0.824
1	61176.5	0.6894
1	61177	0.2896
1	61177.5	0.2974
1	61178	0.3448
1	61178.5	0.6342
1	61179	0.183
1	61179.5	0.183
1	61180	0.415
1	61181	0.11
1	61181.5	0.0584
1	61182	0.1546
1	61182.5	0.5708
1	61184	0.0584
1	61184.5	0.1614
1	61185	0.1974
1	61185.5	0.1212
1	61188	0.0584
1	61190	0.11
1	61190.5	0.1142
1	61191.5	0.4026
1	61192	0.1684
1	61192.5	0.0628
1	61194	0.0584
1	61197	0.0584
1	61198.5	0.1168
1	61204	0.0516
1	61214.5	0.0516
1	61215	0.0584
1	61216	0.374
1	61216.5	0.1212
1	61217	0.11
1	61218.5	0.3912
1	61219.5	0.0628
1	61225	0.11
1	61226.5	0.1546
1	61227	0.0584
1	61227.5	0.0584
1	61228	0.0516
1	61228.5	0.1546
1	61229.5	0.1256
1	61230.5	0.0516
1	61231.5	0.0516
1	61232	0.0584
1	61233	0.0516
1	61234.5	0.0516
1	61235	0.3784
1	61236	0.0584
1	61236.5	0.1316
1	61237	0.0584
1	61237.5	0.0628
1	61238.5	0.0516
1	61240.5	0.0516
1	61243.5	0.0584
1	61246	0.0516
1	61252	0.0806
1	61252.5	0.0516
1	61253	0.0806
1	61257.5	0.08
1	61258.5	0.1142
1	61259	0.0628
1	61260	0.0516
1	61263	0.0516
1	61272.5	0.0516
1	61284.5	0.1212
1	61303.5	0.0628
1	61549	0.103
1	61597	0.08
1	61768	0.0584
1	62278.5	0.0628
1	62284.5	0.2742
1	62285	0.0628
1	62290.5	0.0584
1	62291	0.0584
1	62294.5	0.0516
1	62660	0.0516
1	62669	0.0516
1	62670.5	0.0584
1	62676.5	0.08
1	62678	0.0584
1	62680.5	0.103
1	62682	0.0584
1	62692	0.0584
1	62718.5	0.11
1	62725.5	0.0584
1	62735	0.24
1	62736	0.242
1	62742	0.08
1	62744	0.0584
1	62749.5	0.0516
1	65437.5	0.0806
1	65606.5	0.0628
1	65739.5	0.08
1	67737	0.0628
1	67855	0.08
1	67868	0.0628
1	67937	0.0628
1	67963	0.0516
1	68006	0.0516
1	68025	0.103
1	68029.5	0.139
1	68034.5	0.0584
1	68035	0.0806
1	68035.5	0.0584
1	68036	0.08
1	68043.5	0.1212
1	68045.5	0.0628
1	68050.5	0.0806
1	68051	0.08
1	68052.5	0.0516
1	68056	0.0628
1	68056.5	0.2462
1	68057	0.139
1	68058	0.103
1	68060	0.1212
1	68060.5	0.3116
1	68061	0.3714
1	68062	0.5016
1	68062.5	0.0516
1	68063	0.2238
1	68063.5	0.0628
1	68064	0.0628
1	68064.5	0.2242
1	68065	0.2644
1	68065.5	0.3092
1	68066	0.9846
1	68066.5	0.448
1	68067	0.1212
1	68067.5	0.11
1	68068	0.0584
1	68068.5	0.2466
1	68069	0.4436
1	68069.5	0.6292
1	68070	0.2576
1	68070.5	0.7246
1	68071	0.1434
1	68071.5	0.161
1	68072	0.0516
1	68074.5	0.0628
1	68075.5	0.1682
1	68076.5	0.1726
1	68077	0.0628
1	68077.5	0.0628
1	68078	0.1168
1	68081	0.0584
1	68084	0.1254
1	68086	0.0628
1	68086.5	0.0516
1	68088	0.103
1	68088.5	0.0516
1	68090	0.1322
1	68094.5	0.0628
1	68096.5	0.103
1	68097	0.0628
1	68098	0.0584
1	68100	0.0584
1	68100.5	0.0628
1	68101	0.1254
1	68101.5	0.08
1	68102	0.0516
1	68104	0.0584
1	68104.5	0.3446
1	68105	0.161
1	68105.5	0.11
1	68107	0.0516
1	68107.5	0.1434
1	68108	0.0584
1	68108.5	0.0806
1	68109.5	0.0628
1	68110.5	0.206
1	68112.5	0.08
1	68113.5	0.1614
1	68114	0.0628
1	68114.5	0.0584
1	68115	0.3086
1	68116	0.2054
1	68117	0.1796
1	68118	0.1254
1	68119.5	0.0516
1	68120	0.1254
1	68120.5	0.4684
1	68121	0.3362
1	68121.5	0.1144
1	68122.5	0.1658
1	68123	0.11
1	68123.5	0.0516
1	68124.5	0.3094
1	68125	0.2468
1	68125.5	0.4482
1	68126	0.687
1	68126.5	0.2056
1	68127	0.0806
1	68127.5	0.2682
1	68128	0.1256
1	68128.5	0.1434
1	68129.5	0.1428
1	68130	0.0516
1	68130.5	0.5582
1	68131	1.1936
1	68131.5	0.8588
1	68132	0.5312
1	68132.5	0.3986
1	68133	0.2286
1	68133.5	0.103
1	68134	0.1432
1	68135	0.0584
1	68135.5	0.0584
1	68136	0.2756
1	68136.5	0.177
1	68141	0.0584
1	68142.5	0.0516
1	68143	0.0584
1	68143.5	0.1316
1	68145.5	0.0628
1	68146.5	0.1212
1	68147.5	0.0584
1	68148	0.08
1	68148.5	0.1256
1	68149	0.0806
1	68149.5	0.0584
1	68150	0.1032
1	68154.5	0.0628
1	68163.5	0.0516
1	68181.5	0.08
1	68182	0.1906
1	68183	0.11
1	68183.5	0.1032
1	68184	0.4188
1	68184.5	0.139
1	68185	0.0516
1	68189	0.0516
1	68191.5	0.0806
1	68215	0.1316
1	68240	0.0628
1	68259	0.1254
1	68260.5	0.1254
1	68261	0.0628
1	68262.5	0.2238
1	68263	0.1432
1	68264	0.2238
1	68282.5	0.08
1	68283	0.0584
1	68287	0.0584
1	68293.5	0.0806
1	68297.5	0.0584
1	68298	0.0516
1	68305	0.0628
1	68307.5	0.11
1	68308	0.0584
1	68309	0.16
1	68309.5	0.1836
1	68310	0.2688
1	68311	0.3094
1	68311.5	0.293
1	68312	0.0584
1	68312.5	0.1316
1	68313	0.3332
1	68313.5	0.1838
1	68314	0.0806
1	68314.5	0.0516
1	68315	0.103
1	68316.5	0.0584
1	68317.5	0.1384
1	68318.5	0.2638
1	68319	0.2558
1	68319.5	0.0516
1	68321.5	0.08
1	68322	0.0516
1	68322.5	0.0584
1	68324	0.08
1	68324.5	0.0584
1	68329.5	0.1212
1	68330	0.0516
1	68331.5	0.0584
1	68334.5	0.0516
1	68335	0.1434
1	68336	0.6998
1	68336.5	0.0584
1	68337	0.0584
1	68339	0.1316
1	68339.5	0.0516
1	68340.5	0.0516
1	68341	0.2016
1	68341.5	0.327
1	68342	0.2974
1	68342.5	0.1684
1	68343	0.3158
1	68343.5	0.1434
1	68344.5	0.08
1	68345	0.0628
1	68345.5	0.0628
1	68346	0.206
1	68347.5	0.1968
1	68348	0.4256
1	68348.5	0.2312
1	68349	0.0628
1	68349.5	0.11
1	68350	0.1614
1	68350.5	0.0516
1	68351.5	0.1212
1	68354	0.0584
1	68354.5	0.0628
1	68361.5	0.0806
1	68520	0.0516
1	68529	0.0584
1	68564	0.0584
1	68564.5	0.0628
1	68566	0.1614
1	68574.5	0.1254
1	68582.5	0.0584
1	68584	0.177
1	68584.5	0.11
1	68585	0.0584
1	68585.5	0.1968
1	68589	0.0516
1	68595	0.0516
1	68595.5	0.0516
1	68606	0.0806
1	68607	0.0584
1	68608.5	0.1384
1	68612.5	0.1974
1	68613	0.2062
1	68613.5	0.0516
1	68616.5	0.08
1	68617	0.0516
1	68621.5	0.0628
1	68637	0.0628
1	68638	0.1322
1	68638.5	0.2552
1	68640	0.08
1	68644	0.0806
1	68644.5	0.08
1	68645	0.0516
1	68646	0.0628
1	68662.5	0.0806
1	68663	0.0628
1	68667	0.0806
1	68668	0.2488
1	68668.5	0.0628
1	68670.5	0.2822
1	68671	0.0516
1	68672.5	0.2194
1	68684	0.08
1	68684.5	0.11
1	68685	0.0628
