SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	nb_62_seg	proportion	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	Event_len_min	debut	fin	Genotype	SegHpM_NWT	SegHpM_DC	SegHpM_Ntel	SegHpM_Ntkd	SegHpM_SFA	exp_local_hits_seg_NWT	exp_local_hits_seg_Ntel	exp_local_hits_seg_Ntkd	exp_local_hits_seg_SFA	exp_local_hits_seg_DC	Seg_Obs_Exp_HpM_NWT	Seg_Obs_Exp_HpM_Ntel	Seg_Obs_Exp_HpM_Ntkd	Seg_Obs_Exp_HpM_SFA	Seg_Obs_Exp_HpM_DC	boundary_cross	hotspot_overlapW	hotspot_boundary_crossW	est_dist_DSBsW	hotspot_overlapF	hotspot_boundary_crossF	est_dist_DSBsF	SegType	seg_cat	len_cat	Classification	Notes
76	158	0	317	(2:6)	4	1	86699	86784	86784	87016	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	10.0445009535919	2	0	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	1418	86354.5	87927.5	OM	2.58994094744893	0	3.44574529128326	1.57623664820987	8.63265037401225	6.43480648148148	6.80451140046296	3.36364884259259	5.02688987268519	0	0.4025	0.5064	0.4686	1.7173	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
78	394	61	728	(6:2)	378	3	87294	87772	87833	88022	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	25.0476795931341	2	0	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	1418	86354.5	87927.5	OM	20.4218539125923	0	22.0655129902865	12.6295973940486	6.02946068395442	14.7777259259259	15.6267643518519	7.72472037037037	11.5444032407407	0	1.3819	1.412	1.635	0.5223	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
79	647	395	899	(2:6)	56	5	110746	110917	111312	111645	18	48.0229	38.6492	28.0499	153.4699	0	2	2489	30.4041353383459	1	0	1	2	OM4	7	56_7	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	1768	110831.75	112959.75	OM	42.9765356482431	0	36.2699975563156	25.8050113620728	150.193031352172	17.3453543993572	13.9596748895139	10.1313218561671	55.431675411812	0	2.4777	2.5982	2.5471	2.7095	0	0	1	0	0	1	0	0	6:2/2:6 Segment	single	300_500	AC	
83	262	165	360	(6:2)	1	2	41124	41298	41463	41484	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	3.36674376766898	3	0	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	6591	38431.25	46213.25	OM	1.04265803252646	0	0.42480421063253	0.187940139728812	0.585700174280007	29.7768700690885	23.172310229552	8.09808647203031	16.9829217740138	0.234942723423223	0.035	0.0183	0.0232	0.0345	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	150_300	IC	
86	238	39	436	(6:2a)	78	3	43774	44008	44047	44210	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	3.05833975841686	3	0	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	6591	38431.25	46213.25	OM	1.58759289066193	0	0.961235805080907	0.415488738921492	1.3380573067753	36.0630981947849	28.0642423891241	9.80768250501449	20.568205259639	0.28454174281257	0.044	0.0343	0.0424	0.0651	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
88	130	0	260	(6:2a)	5	1	45009	45075	45075	45269	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	1.67052171678232	3	0	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	6591	38431.25	46213.25	OM	340.890462105733	2.2508	171.314025814586	76.2690893385478	41.145362217529	21.5055172721195	16.7355573880098	5.84861800757745	12.2654435034544	0.169680855805661	15.8513	10.2365	13.0405	3.3546	13.2649	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	IC	
93	296	194	397	(2:6)	5	4	71621	71634	71828	72018	17	1614.7235	1690.0984	720.9849	1636.0773	46.9486	5	1756	18.407960199005	1	0	1	2	OM1	8	5_3_4_5_5	1	0	3	21	(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	1460	70706	72314	OM	35.994707815513	0.3834	32.795845296391	13.7904453246993	16.6108770861731	365.059925683371	382.100834168565	163.001711446469	369.887635592255	10.6142335990888	0.0986	0.0858	0.0846	0.0449	0.0361	0	0	0	0	1	0	0	6:2/2:6 Segment	single	150_300	IC	
96	59	0	118	(2:6)	7	1	216513	216541	216541	216631	19	1450.1327	1412.9258	1080.1873	310.292	28.3836	4	3937	1.75699821322216	1	0	1	2	OM2	8	8_7_1_18	1	0	2	32	(3:5)_(2:6)_(3:5a)_(3:5b)_(4:4aCO)	2780	215571.75	218929.75	OM	102.651003628979	1.4918	85.611201669132	66.438289703888	37.1353917331245	43.4634642113284	42.3482967741935	32.375438506477	9.30009042418085	0.850714960629921	2.3618	2.0216	2.0521	3.993	1.7536	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
100	111	0	222	(2:6)	3	1	27441	27489	27489	27663	21	612.2457	619.6635	139.1117	442.4574	20.4168	9	9269	1.93177862861121	2	0	1	2	OM8	8	4_3_23_2_23_2_2_1_1	1	0	2	31	(3:5)_(2:6)_(4:4ai)_(3:5)_(3:5a)_(2:6)_(3:5a)_(4:4bCO)_(3:5a)_(4:4b)	2224	27093.25	32839.25	OM	3.49246430004738	0	2.1748335181971	1.12444015477983	3.27391892465176	14.6637766102061	14.8414388822958	3.33183702664797	10.5972103571043	0.488998770093861	0.2382	0.1465	0.3375	0.3089	0	0	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
104	18	0	37	(2:6)	2	1	29027	29038	29038	29064	21	612.2457	619.6635	139.1117	442.4574	20.4168	9	9269	0.31326139923425	2	0	1	2	OM8	8	4_3_23_2_23_2_2_1_1	1	0	2	31	(3:5)_(2:6)_(4:4ai)_(3:5)_(3:5a)_(2:6)_(3:5a)_(4:4bCO)_(3:5a)_(4:4b)	2224	27093.25	32839.25	OM	7.40483251611031	0.1144	7.28018593517261	1.36969253509651	2.27687816682959	2.44396276836768	2.4735731470493	0.555306171107994	1.76620172618405	0.0814997950156435	3.0298	2.9432	2.4666	1.2891	1.4037	0	1	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	IC	
109	251	0	502	2:6	3	1	269402	269653	269653	269904	8	202.0296	212.5469	211.6959	200.0622	2.547	3	1161	23.7689393939394	1	0	0	2	OM2	9	4_3_4	1	1	2	20	3:5_2:6_3:5a	952	269032.75	270088.75	OM	49.006127825788	0.1316	46.9424156552253	44.1848368737421	14.1203258924841	87.3547452196382	91.9022771748493	91.5343167958656	86.504069250646	1.10128682170543	0.561	0.5108	0.4827	0.1632	0.1195	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN4	
114	664	536	792	(2:6)	7	14	301834	301937	302473	302626	20	1376.4044	1601.1382	1305.9904	1731.6962	59.4812	4	2724	35.4700854700855	1	0	1	2	OM3	9	7_7_8_7	1	0	2	32	(3:5)_(4:4)_(3:5a)_(2:6)_(4:4aCO)	1019	300677.75	302549.75	OM	13.4682330604044	0	14.3505203907344	25.1574730626559	10.401454896919	400.188063436123	465.529168281938	379.715270484581	503.488762995595	17.2940933920705	0.0337	0.0308	0.0663	0.0207	0	0	1	0	0	0	0	0	6:2/2:6 Segment	single	500_750	AC	
116	789	375	1203	(6:2)	2	3	176084	176261	176636	177287	8	148.9216	188.7563	144.7128	48.6125	0.7158	4	2920	31.2104430379747	1	0	1	2	OM4	9	1_2_34_4	1	0	2	32	(5:3)_(6:2)_(4:4aCO)_(5:3a)_(4:4a)	2136	175745	178273	OM	16.6297154504719	0	16.9179502184989	9.80229354640926	4.26645814398673	61.3536591780822	77.7650098972603	59.6196912328767	20.0276840753425	0.294899794520548	0.271	0.2176	0.1644	0.213	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	300_500	AC	
120	534	0	1069	2:6	6	1	160618	160810	160810	161687	5	284.284	301.081	203.8032	93.8006	1.7298	2	1666	45.7583547557841	1	0	0	2	OM7	10	5_6	1	1	1	8	3:5_2:6	668	160081.5	161248.5	OM	77.1056817825731	0.6272	95.3573925510751	58.8798753989243	19.8142719078586	182.412722689076	193.190629651861	130.771681152461	60.1877799519808	1.10993769507803	0.4227	0.4936	0.4502	0.3292	0.5651	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	CN3	
121	309	165	453	(6:2)	78	2	247069	247234	247399	247522	2	10.6557	8.7054	15.1234	5.8729	0	1	452	100	1	0	1	2	OM5	11	78	1	0	1	15	(6:2)_(4:4aCO)	166	247151.5	247460.5	OM	10.655737035982	0	8.70543556957405	15.1234300198381	5.8729071787882	10.6792745575221	8.72465973451327	15.1568588495575	5.88589314159292	0	0.9978	0.9978	0.9978	0.9978	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	150_300	AC	
122	187	0	374	(2:6)	56	1	288990	289129	289129	289364	1	55.0703	52.8896	51.1407	48.75	0.3	1	373	100	1	0	1	2	OM7	11	56	1	0	1	16	(2:6)_(4:4aCO)	1	289059.5	289246.5	OM	55.0703285681116	0.3	52.8895745795433	51.1407224923161	48.7499612352517	55.2179415549598	53.0313951742627	51.2778064343164	48.8806970509383	0.300804289544236	0.9973	0.9973	0.9973	0.9973	0.9973	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
123	53	0	106	(6:2)	56	1	332548	332630	332630	332654	8	63.827	61.1174	111.7547	42.7951	1.2998	3	1521	4.66138962181178	2	0	1	2	OM2	12	56_56_56	1	0	1	12	(6:2)_(4:4)_(6:2)_(4:4aCO)	753	332589	333726	OM	49.5467616195145	1.0172	44.6310486433825	83.5732493405894	28.0026704502778	4.44816699539776	4.25933228139382	7.7882959894806	2.98243300460224	0.090584352399737	11.1387	10.4784	10.7306	9.3892	11.2293	0	1	0	0	1	0	0	6:2/2:6 Segment	multi	30_150	AC	
125	638	147	1130	(6:2)	56	5	332940	333235	333382	334070	8	63.827	61.1174	111.7547	42.7951	1.2998	3	1521	56.1125769569041	2	0	1	2	OM2	12	56_56_56	1	0	1	12	(6:2)_(4:4)_(6:2)_(4:4aCO)	753	332589	333726	OM	3.51316942406244	0	1.96508206312378	3.2967041008311	3.93154368053848	47.4191387245233	45.4060894148586	83.0261742274819	31.7938612754767	0.965663379355687	0.0741	0.0433	0.0397	0.1237	0	1	0	0	0	0	0	0	6:2/2:6 Segment	multi	30_150	AC	
128	64	0	129	2:6	56	1	307860	307944	307944	307989	4	199.2555	211.9222	173.3961	222.8906	4.3542	3	1612	4.8780487804878	1	0	0	2	OM8	12	5_5_56	1	1	1	8	3:5_4:4_2:6	1013	306654.25	307966.25	OM	1.2509095697214	0	1.39344183148617	1.55353179897174	3.28942422388547	15.9453843052109	16.9590346153846	13.8759906327543	17.8367787841191	0.348444044665012	0.0784	0.0822	0.112	0.1844	0	0	0	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AN	
129	1860	1189	2532	(2:6)	12	4	429131	430040	431229	431663	4	382.8404	462.2364	472.7489	1264.8403	8.2694	1	2531	100	1	0	1	2	OM5	13	12	1	0	1	16	(2:6)_(4:4aCO)	1190	429585.75	431445.75	OM	382.840443706795	8.2694	462.236393289702	472.748868379614	1264.84028345181	382.991660529435	462.419029948637	472.935683445279	1265.34003935203	8.27266724614777	0.9996	0.9996	0.9996	0.9996	0.9996	0	2	0	2231.5	2	0	2071	6:2/2:6 Segment	single	>1000	AC	
131	92	0	185	(2:6)	8	1	565223	565389	565389	565408	4	525.283	611.8298	666.3837	540.9366	22.4204	2	1366	11.3300492610837	1	0	1	2	OM6	13	7_8	1	0	1	9	(3:5)_(2:6)_(4:4aCO)	257	564586.75	565398.75	OM	2.01369834140663	0.0516	1.19689361535881	4.63859069721308	2.76534510978591	71.1400841874085	82.8612833089312	90.2496226207906	73.2600812591508	3.03643777452416	0.0283	0.0144	0.0514	0.0377	0.017	0	1	0	0	0	0	0	6:2/2:6 Segment	single	30_150	AC	
133	58	8	108	(2:6)	78	2	332522	332540	332548	332630	3	50.2715	39.1651	77.2988	26.7137	1.0172	2	802	14.0096618357488	1	0	1	2	OM8	13	5678_78	1	0	1	12	(4:4aCO)_(2:6)_(4:4a)	27	332174.75	332588.75	OM	36.4068098007402	1.0172	27.9041452914501	55.171683413663	18.6029579180454	6.76972817955112	5.27410324189526	10.409314713217	3.59735610972569	0.136979551122195	5.3779	5.2908	5.3002	5.1713	7.4259	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	AC	
134	428	0	857	6:2	12	1	490619	490686	490686	491476	1	239.5268	267.1128	296.24	238.053	10.7874	1	856	100	1	0	0	2	OM2	14	12	1	1	1	10	6:2	1	490652.75	491080.75	OM	239.526777056821	10.7874	267.112826649514	296.239970103344	238.052959169414	239.806621028037	267.424847663551	296.586074766355	238.331099299065	10.8000021028037	0.9988	0.9988	0.9988	0.9988	0.9988	0	1	0	0	1	0	0	6:2/2:6 Segment	single	30_150	CN1	
