id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC
20	EA1	1500	EA	1	3	209941	210192	210635	211159	210066.75	210896.75	(3:5)_(2:6)_(4:4aCO)	2_nonsis	444	830	1217	3	510_321	                      325_0	694_642	209941_210517_210635	210192_210635_211159	210517_210635_239394	210635_211159_239437	987.08	101	9.74	7	6_1	2_1	1	9	1	1	0	1	1	0	0	210481.75	210481.75	NA	NA	                      graph_bin_annot3(3,208000,212000,c(1,2,5,6))		One-Sided Unidirectional	608.5	907.9424	906.3375	1221.9101	1109.5141	62.2826
19	EA1	1500	EA	1	3	147587	147882	147587	147882	147661	147808	(4:4aCO)	2_nonsis	0	147	294	1	0	0	0	147587	147882	209941	210192	52.81	24	2.16	0	0	0	1	100	1	1	0	1	1	0	0	147734.5	147734.5	NA	NA	                      graph_bin_annot3(3,146000,148000,c(3,4,7,8))		No Strand Transfer	147	115.2634	102.5389	101.6192	34.4719	0.7266
31	EA1	1500	EA	1	4	992912	992975	993715	994135	992943.25	993925.25	3:5_2:6_3:5	1	741	982	1222	3	126_34_822	                      85_0_587	166_68_1057	992912_993060_993078_993715	992975_993078_993128_994135	993060_993078_993715_1050120	993078_993128_994135_1050175	314.88	102	3.09	12	5_1_6	7_8_8	1	4	1	0	1	1	1	1	1	993434.25	993434.25	NA	NA	                      graph_bin_annot3(4,991000,995000,c(7,8))		One-Sided + patch	611	321.8164	322.3039	427.1412	537.3173	2.056
35	EA1	1500	EA	1	4	1295582	1295980	1296388	1296525	1295780.75	1296456.75	6:2_5:3	1	409	676	942	2	226_449	                      0_353	453_545	1295582_1295980_1296388	1295980_1296035_1296525	1295980_1296388_1344235	1296035_1296525_1344556	248.74	78	3.17	6	1_5	56_5	1	7	1	0	1	1	1	1	1	1296118.75	1296118.75	NA	NA	                      graph_bin_annot3(4,1294000,1297000,c(5,6))		Full Conversion	471	188.9223	242.5771	235.226	134.93	1.463
39	EA1	1500	EA	1	4	1487463	1487794	1488106	1488682	1487628.25	1488394.25	6:2_5:3	1	313	766	1218	2	372_394	                      173_72	571_715	1487463_1487967_1488106	1487794_1488034_1488682	1487967_1488106_1523226	1488034_1488682_1531933	4.44	101	0.04	4	2_2	56_5	1	7	1	0	1	1	1	1	1	1488011.25	1488011.25	NA	NA	                      graph_bin_annot3(4,1486000,1489000,c(5,6))		Full Conversion	609	5.8725	8.0781	2.7123	4.5673	0
36	EA1	1500	EA	1	4	1344235	1344556	1345632	1346089	1344395.5	1345860.5	5:3_6:2_5:3a	1	1077	1465	1853	3	802_150_514	                      523_0_253	1080_300_774	1344235_1345079_1345315_1345632	1344556_1345315_1345379_1346089	1345079_1345315_1345632_1380649	1345315_1345379_1346089_1381111	422.47	154	2.74	11	8_1_2	5_6_5	2	19	1	0	1	1	1	1	1	1345128	1345128	NA	NA	                      graph_bin_annot3(4,1343000,1347000,c(5,6))		Two-sided	926.5	289.9064	332.5012	421.1563	443.3728	7.5292
37	EA1	1500	EA	1	4	1380649	1381111	1381693	1382599	1380880	1382146	4:4ai	2_nonsis	583	1266	1949	1	1266	582	1950	1380649_1381693	1381111_1382599	1381693_1419516	1382599_1419978	38.5	162	0.24	2	2	17	3	31	1	0	1	1	2	2	1	1381513	1381513	NA	NA	                      graph_bin_annot3(4,1379000,1383000,c(1,2,7,8))		Two Chr	974.5	73.8936	55.9021	69.6675	16.9421	0.2352
26	EA1	1500	EA	1	4	369582	369971	369971	370499	369776.75	370234.75	(5:3)_(4:4aCO)	2_nonsis	1	458	916	2	458	0	917	369582_369971	369971_370499	369971_588583	370499_589440	4.44	76	0.06	1	1	5	1	1	1	1	0	1	1	0	0	370005.75	370005.75	NA	NA	                      graph_bin_annot3(4,368000,371000,c(3,4,5,6))		One-Sided Unidirectional	458	5.0682	1.2495	1.9602	2.0998	0
25	EA1	1500	EA	1	4	172175	172830	173380	174736	172502.25	174058.25	(2:6)_(4:4)_(4:4aCO)	2_nonsis	551	1556	2560	3	724_831	                      244_0	1205_1662	172175_173074_173380	172830_173380_174736	173074_173380_369582	173380_174736_369971	635.19	213	2.98	5	4_1	12_12	1	12	1	1	0	1	1	0	0	173280.25	173280.25	NA	NA	                      graph_bin_annot3(4,171000,175000,c(1,2,7,8))		One-Sided Unidirectional	1280	363.7446	387.2953	327.6445	225.1709	5.5856
38	EA1	1500	EA	1	4	1419516	1419978	1420281	1420528	1419746.75	1420404.75	(6:2)_(4:4aCO)	2_nonsis	304	658	1011	2	658	303	1012	1419516_1420281	1419978_1420528	1420281_1487463	1420528_1487794	373.61	84	4.44	3	3	78	1	15	1	1	0	1	2	1	0	1420075.75	1420075.75	NA	NA	                      graph_bin_annot3(4,1418000,1421000,c(1,2,7,8))		Full Conversion	505.5	309.5647	403.783	324.5923	129.2244	4.6172
33	EA1	1500	EA	1	4	1110571	1111002	1111002	1111210	1110786.25	1111106.25	(2:6)_(4:4aCO)	2_nonsis	1	320	638	2	320	0	639	1110571_1111002	1111002_1111210	1111002_1217807	1111210_1218265	1.48	53	0.03	1	1	78	1	16	1	1	0	1	2	1	0	1110946.25	1110946.25	NA	NA	                      graph_bin_annot3(4,1109000,1112000,c(3,4,7,8))		Full Conversion	319	2.4174	1.3044	3.2776	2.4642	0
29	EA1	1500	EA	1	4	849735	850164	850164	850484	849949.75	850323.75	(2:6)_(4:4aCO)	2_nonsis	1	374	748	2	374	0	749	849735_850164	850164_850484	850164_915507	850484_916363	12.34	62	0.2	1	1	12	1	16	1	1	0	1	2	1	0	850136.75	850136.75	NA	NA	                      graph_bin_annot3(4,848000,851000,c(1,2,5,6))		Full Conversion	374	9.8014	6.8412	9.5048	18.0893	0
23	EA1	1500	EA	1	4	61275	62061	63046	63216	61668	63131	(5:3)_(4:4aCO)_(5:3a)_(4:4a)	2_nonsis	986	1463	1940	4	618_260_585	                      144_0_320	1091_521_850	61275_62205_62366_63046	62061_62366_62726_63216	62205_62366_63046_159017	62366_62726_63216_159238	1261	162	7.81	8	2_1_5	126_5_6	2	32	1	1	0	1	1	0	0	62399.5	62399.5	NA	NA	                      graph_bin_annot3(4,60000,64000,c(1,2,5,6))		Two-Sided Unidirectional	970	781.3766	920.3572	786.9537	951.1046	15.8326
30	EA1	1500	EA	1	4	915507	916363	919279	919709	915935	919494	(5:3)_(4:4)_(5:3a)_(4:4)_(2:6)_(3:5)_(4:4aCO)	2_nonsis	2917	3559	4201	7	902_922_256_265_274_940	                      0_373_0_0_138_673	1803_1470_513_530_410_1208	915507_916363_917683_917833_918196_918501_919279	916363_917310_917833_918196_918363_918606_919709	916363_917683_917833_918196_918501_919279_992912	917310_917833_918196_918363_918606_919709_992975	118.94	350	0.34	18	1_3_1_1_4_8	8_8_7_7_56_8	3	20	1	1	0	2	2	1	1	917714.5	917714.5	NA	NA	                      graph_bin_annot3(4,914000,920000,c(5,6,7,8))		Two-Sided Bidirectional	2100.5	214.9887	208.8542	210.4513	113.9949	4.1626
28	EA1	1500	EA	1	4	620963	621879	623197	623798	621421.25	623497.25	(2:6)_(5:3)_(4:4ai)_(3:5)_(4:4bCO)	2_nonsis	1319	2076	2834	5	1275_74_75_653	                      772_0_0_306	1778_147_150_1000	620963_622651_622741_622798_623197	621879_622741_622798_622891_623798	622651_622741_622798_623197_849735	622741_622798_622891_623798_850164	551.28	236	2.34	10	4_1_1_4	56_256_5_6	3	21	1	1	0	2	2	1	1	622459.25	622459.25	NA	NA	                      graph_bin_annot3(4,619000,624000,c(1,2,5,6))		Sym 4:4	1417	232.0582	217.1044	322.8652	739.7956	2.0664
49	EA1	1500	EA	1	5	416514	416544	417511	417748	416529.25	417629.25	5:3	1	968	1100	1233	1	1100	967	1234	416514_417511	416544_417748	417511_489026	417748_489879	423.46	103	4.12	8	8	8	1	1	1	0	1	1	1	1	1	417079.25	417079.25	NA	NA	                      graph_bin_annot3(5,415000,418000,c(7,8))		One-Sided	616.5	480.9501	388.7484	386.6528	216.072	10.6366
46	EA1	1500	EA	1	5	267673	268597	269034	269057	268135.25	269045.25	3:5	1	438	910	1383	1	910	437	1384	267673_269034	268597_269057	269034_334750	269057_335065	419.02	115	3.64	4	4	2	1	2	1	0	1	1	1	1	1	268590.25	268590.25	NA	NA	                      graph_bin_annot3(5,266000,270000,c(1,2))		One-Sided	691.5	423.5946	466.8627	455.1533	403.4067	13.5364
48	EA1	1500	EA	1	5	372082	372263	373416	373442	372172.75	373428.75	2:6_3:5	1	1154	1256	1359	2	298_958	                      191_929	405_988	372082_372454_373416	372263_372487_373442	372454_373416_416514	372487_373442_416544	193.47	113	1.71	11	3_8	56_5	1	8	1	0	1	1	1	1	1	372800.75	372800.75	NA	NA	                      graph_bin_annot3(5,371000,374000,c(5,6))		Full Conversion	679.5	196.756	175.6219	172.4857	98.1772	2.8882
44	EA1	1500	EA	1	5	250605	250692	252103	252588	250648.5	252345.5	5:3_5:3a	1	1412	1697	1982	2	892_804	                      669_382	1116_1227	250605_251361_252103	250692_251721_252588	251361_252103_259785	251721_252588_259981	105.12	165	0.64	14	8_6	1_12	2	11	1	0	1	1	1	1	1	251497	251497	NA	NA	                      graph_bin_annot3(5,249000,253000,c(1,2))		Two-sided	991	187.0767	171.5915	223.3035	103.6728	1.9376
43	EA1	1500	EA	1	5	191662	191863	192719	192792	191762.5	192755.5	5:3_5:3a_4:4_5:3a	1	857	993	1129	4	181_150_352_310	                      0_41_100_49	362_258_605_571	191662_191863_192065_192221_192719	191863_192024_192121_192670_192792	191863_192065_192221_192719_250605	192024_192121_192670_192792_250692	262.56	94	2.79	7	1_2_2_2	1_12_2_2	2	13	1	0	1	1	1	1	1	192259	192259	NA	NA	                      graph_bin_annot3(5,190000,193000,c(1,2))		Two-sided + patch	564.5	203.089	209.9629	202.381	118.5418	2.0374
41	EA1	1500	EA	1	5	67311	67575	69083	69209	67443	69146	5:3_4:4_5:3a	1	1509	1703	1897	3	249_1348_106	                      0_1187_0	498_1508_213	67311_67575_68996_69083	67575_67809_69083_69209	67575_68996_69083_105369	67809_69083_69209_105437	1089.74	158	6.9	12	1_10_1	1_1_2	2	15	1	0	1	1	1	1	1	68294.5	68294.5	NA	NA	                      graph_bin_annot3(5,66000,70000,c(1,2))		Two-sided	948.5	1439.4083	1504.0796	1298.239	284.1387	97.7396
47	EA1	1500	EA	1	5	334750	335065	336702	336936	334907.25	336819.25	(5:3)_(6:2)_(5:3a)_(4:4aCO)	2_nonsis	1638	1912	2185	4	252_684_976	                      0_558_828	504_809_1124	334750_335065_335812_336702	335065_335254_335874_336936	335065_335812_336702_372082	335254_335874_336936_372263	1209.67	182	6.65	16	1_11_4	5_6_7	2	32	1	1	0	1	1	0	0	335863.25	335863.25	NA	NA	                      graph_bin_annot3(5,333000,337000,c(5,6,7,8))		Two-Sided Unidirectional	1092.5	811.4252	925.0259	1096.8022	2584.5572	20.1906
45	EA1	1500	EA	1	5	259785	259981	261345	261627	259883	261486	(6:2)_(4:4)_(6:2)_(4:4aCO)_(5:3)_(4:4a)_(3:5)_(2:6)_(3:5)_(4:4a)	2_nonsis	1365	1603	1841	10	270_72_369_123_104_164_262_70_170	                      145_0_242_23_0_0_131_0_13	394_143_496_223_207_328_394_139_328	259785_260126_260179_260511_260698_260734_260905_261193_261299_261345	259981_260179_260269_260675_260734_260905_261062_261299_261332_261627	260126_260179_260511_260698_260734_260905_261193_261299_261345_267673	260179_260269_260675_260734_260905_261062_261299_261332_261627_268597	149.54	153	0.98	19	6_1_3_2_1_1_2_1_2	12_12_12_56_6_6_2_1_1	3	20	1	1	0	2	2	1	1	260684.5	260684.5	NA	NA	                      graph_bin_annot3(5,258000,262000,c(1,2,5,6))		One-Sided Bidirectional	920.5	171.5592	179.917	137.6509	238.1906	2.13
53	EA1	1500	EA	1	6	199339	200419	199339	200419	199609	200149	(4:4aCO)	2_nonsis	0	540	1079	1	0	0	0	199339	200419	269707	270161	260.59	90	2.9	0	0	0	1	100	1	1	0	1	1	0	0	199879	199879	NA	NA	                      graph_bin_annot3(6,198000,201000,c(1,2,3,4))		No Strand Transfer	539.5	209.9235	163.7188	201.0873	340.6914	4.354
59	EA1	1500	EA	1	7	694954	695091	695091	695230	695022.5	695160.5	3:5	1	1	138	275	1	138	0	276	694954_695091	695091_695230	695091_717846	695230_718302	46.89	23	2.05	1	1	7	1	2	1	0	1	1	1	1	1	695091.5	695091.5	NA	NA	                      graph_bin_annot3(7,693000,696000,c(7,8))		One-Sided	137.5	59.2692	51.5618	69.4752	7.4609	0.0584
54	EA1	1500	EA	1	7	44898	45371	45669	45723	45134.25	45696.25	3:5	1	299	562	824	1	562	298	825	44898_45669	45371_45723	45669_146595	45723_146946	82.91	69	1.21	5	5	5	1	2	1	0	1	1	1	1	1	45415.25	45415.25	NA	NA	                      graph_bin_annot3(7,43000,46000,c(5,6))		One-Sided	412	143.8809	118.023	103.7787	275.7254	1.122
61	EA1	1500	EA	1	7	832769	832872	836443	837489	832820.25	836966.25	5:3_5:3a	1	3572	4146	4719	2	1886_2259	                      1395_1296	2378_3222	832769_834267_836443	832872_835147_837489	834267_836443_902479	835147_837489_902661	171.26	393	0.44	17	10_7	7_78	2	11	1	0	1	1	1	1	1	834893.25	834893.25	NA	NA	                      graph_bin_annot3(7,831000,838000,c(7,8))		Two-sided	2359.5	222.9989	211.565	192.0151	84.6001	5.393
62	EA1	1500	EA	1	7	902479	902661	902661	903030	902569.75	902845.75	(6:2)_(4:4aCO)	2_nonsis	1	276	550	2	276	0	551	902479_902661	902661_903030	902661_1011510	903030_1012069	28.13	46	0.61	1	1	56	1	15	1	1	0	1	2	1	0	902707.75	902707.75	NA	NA	                      graph_bin_annot3(7,901000,904000,c(1,2,5,6))		Full Conversion	275	26.6287	30.3174	28.7995	54.0725	0
63	EA1	1500	EA	1	7	1011510	1012069	1011510	1012069	1011650	1011929	(4:4aCO)	2_nonsis	0	279	558	1	0	0	0	1011510	1012069	1064130	1090940	848.4	46	18.26	0	0	0	1	100	1	1	0	1	1	0	0	1011789.5	1011789.5	NA	NA	                      graph_bin_annot3(7,1010000,1013000,c(5,6,7,8))		No Strand Transfer	279	1435.0726	1794.6253	1355.4355	1134.6787	67.8122
57	EA1	1500	EA	1	7	307148	307499	308913	309574	307323.5	309243.5	(5:3)_(5:3a)_(4:4aCO)	2_nonsis	1415	1920	2425	3	1277_643	                      924_135	1630_1151	307148_308423_308913	307499_308778_309574	308423_308913_531741	308778_309574_532147	227.03	202	1.12	9	6_3	1_27	2	30	1	1	0	1	1	0	0	308283.5	308283.5	NA	NA	                      graph_bin_annot3(7,306000,310000,c(1,2,7,8))		Two-Sided Unidirectional	1212.5	269.8492	254.7773	235.4341	210.8568	5.2922
58	EA1	1500	EA	1	7	531741	532147	533952	534684	531944	534318	(3:5)_(3:5a)_(4:4)_(4:4aCO)	2_nonsis	1806	2374	2942	4	986_714_675	                      173_0_205	1798_1427_1145	531741_532320_533539_533952	532147_533539_533747_534684	532320_533539_533952_694954	533539_533747_534684_695091	26.65	245	0.11	6	2_1_3	2_12_1	2	31	1	1	0	1	1	0	0	533131	533131	NA	NA	                      graph_bin_annot3(7,530000,535000,c(1,2,7,8))		Two-Sided Unidirectional	1471	60.5641	57.4509	40.74	15.3503	0.1168
60	EA1	1500	EA	1	7	717846	718302	719309	719334	718073.75	719321.75	(5:3)_(4:4)_(6:2)_(4:4)_(6:2)_(5:3a)_(4:4aCO)	2_nonsis	1008	1248	1487	7	360_232_30_164_367_95	                      24_115_0_88_230_0	696_349_60_239_504_190	717846_718326_718657_718675_718805_719144_719309	718302_718542_718675_718717_718914_719309_719334	718326_718657_718675_718805_719144_719309_832769	718542_718675_718717_718914_719309_719334_832872	45.9	124	0.37	22	2_4_1_3_11_1	2_2_12_12_12_7	2	32	1	1	0	1	1	0	0	718697.75	718697.75	NA	NA	                      graph_bin_annot3(7,716000,720000,c(1,2,7,8))		Two-Sided Unidirectional	743.5	48.3905	38.3008	39.8044	8.6787	0.2692
55	EA1	1500	EA	1	7	146595	146946	147855	148827	146770.75	148340.75	(5:3)_(6:2)_(5:3)_(3:5)_(4:4aCO)	2_nonsis	910	1570	2231	5	680_62_132_696	                      481_3_56_169	879_120_209_1224	146595_147427_147477_147603_147855	146946_147474_147547_147686_148827	147427_147477_147603_147855_297805	147474_147547_147686_148827_299192	112.53	186	0.61	12	4_2_3_3	7_8_8_12	3	20	1	1	0	2	2	1	1	147555.75	147555.75	NA	NA	                      graph_bin_annot3(7,145000,149000,c(1,2,7,8))		One-Sided Bidirectional	1115.5	241.0016	207.0599	217.8912	29.2756	1.4146
68	EA1	1500	EA	1	8	248394	248547	248808	249416	248470.25	249112.25	(5:3)_(4:4)_(4:4aCO)	2_nonsis	262	642	1021	3	258_384	                      102_0	414_767	248394_248649_248808	248547_248808_249416	248649_248808_362833	248808_249416_363155	4.94	85	0.06	5	4_1	5_5	1	3	1	1	0	1	1	0	0	248791.25	248791.25	NA	NA	                      graph_bin_annot3(8,247000,250000,c(1,2,5,6))		One-Sided Unidirectional	510.5	6.1317	4.4104	4.9123	4.7152	0
69	EA1	1500	EA	1	8	362833	363155	365208	365964	362994	365586	(2:6)_(3:5)_(4:4aCO)	2_nonsis	2054	2592	3130	3	396_2196	                      0_1582	793_2809	362833_363155_365208	363155_363626_365964	363155_365208_516318	363626_365964_516468	49.85	261	0.19	21	1_20	78_7	1	10	1	1	0	1	1	0	0	364290	364290	NA	NA	                      graph_bin_annot3(8,361000,366000,c(3,4,7,8))		One-Sided Unidirectional	1565	56.3802	53.8317	62.0784	51.5378	0.2416
70	EA1	1500	EA	1	8	516318	516468	516616	516651	516393.25	516633.25	(6:2)_(4:4aCO)	2_nonsis	149	240	332	2	240	148	333	516318_516616	516468_516651	516616_525457	516651_525472	294.64	28	10.66	2	2	12	1	15	1	1	0	1	2	1	0	516513.25	516513.25	NA	NA	                      graph_bin_annot3(8,515000,517000,c(1,2,3,4))		Full Conversion	166	334.103	214.7318	340.4873	136.1103	14.5642
65	EA1	1500	EA	1	8	81320	81666	81320	81666	81407	81579	(4:4aCO)	2_nonsis	0	172	345	1	0	0	0	81320	81666	190024	190671	2.96	29	0.1	0	0	0	1	100	1	1	0	1	1	0	0	81493	81493	NA	NA	                      graph_bin_annot3(8,80000,82000,c(1,2,7,8))		No Strand Transfer	172.5	0.5345	0.7234	1.096	0.8943	0
66	EA1	1500	EA	1	8	190024	190671	190024	190671	190186	190509	(4:4aCO)	2_nonsis	0	323	646	1	0	0	0	190024	190671	242062	242119	3527.33	54	65.58	0	0	0	1	100	1	1	0	1	1	0	0	190347.5	190347.5	NA	NA	                      graph_bin_annot3(8,189000,191000,c(3,4,5,6))		No Strand Transfer	323	2262.4261	2621.1041	2570.7625	2565.475	162.55
64	EA1	1500	EA	1	8	16326	16671	17359	17641	16498.25	17500.25	(3:5)_(4:4)_(5:3)_(4:4aCO)	2_nonsis	689	1002	1314	4	514_245_242	                      235_37_0	794_453_484	16326_16906_17157_17359	16671_17120_17359_17641	16906_17157_17359_81320	17120_17359_17641_81666	172.25	109	1.57	13	6_6_1	5_5_7	3	20	1	1	0	2	2	1	1	16999.25	16999.25	NA	NA	                      graph_bin_annot3(8,15000,18000,c(5,6,7,8))		One-Sided Bidirectional	657	166.1509	206.6037	117.742	146.3336	2.2342
