id	Meiosis	threshold	Genotype	GenotypeID	chr	start5	start3	stop5	stop3	debut	fin	type	chromatids	len_min	len_mid	len_max	nb_seg	seg_len_mid	seg_len_min	seg_len_max	seg_start5	seg_start3	seg_stop5	seg_stop3	PanHpM	GenomeHpM	Obs_Exp_HpM	nb_snp	seg_nb_SNP	SpAff	groupe	classe	LSB	LCO	LNCO	CutMin	CutMax	MaxNCO	MinNCO	midpoint	midpoint1	midpoint2	midpoint3	commande	Notes	B_type	extend	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC
38	EA1	1500	EA	1	4	1419516	1419978	1420281	1420528	1419746.75	1420404.75	(6:2)_(4:4aCO)	2_nonsis	304	658	1011	2	658	303	1012	1419516_1420281	1419978_1420528	1420281_1487463	1420528_1487794	373.61	84	4.44	3	3	78	1	15	1	1	0	1	2	1	0	1420075.75	1420075.75	NA	NA	                      graph_bin_annot3(4,1418000,1421000,c(1,2,7,8))		Full Conversion	505.5	309.5647	403.783	324.5923	129.2244	4.6172
33	EA1	1500	EA	1	4	1110571	1111002	1111002	1111210	1110786.25	1111106.25	(2:6)_(4:4aCO)	2_nonsis	1	320	638	2	320	0	639	1110571_1111002	1111002_1111210	1111002_1217807	1111210_1218265	1.48	53	0.03	1	1	78	1	16	1	1	0	1	2	1	0	1110946.25	1110946.25	NA	NA	                      graph_bin_annot3(4,1109000,1112000,c(3,4,7,8))		Full Conversion	319	2.4174	1.3044	3.2776	2.4642	0
29	EA1	1500	EA	1	4	849735	850164	850164	850484	849949.75	850323.75	(2:6)_(4:4aCO)	2_nonsis	1	374	748	2	374	0	749	849735_850164	850164_850484	850164_915507	850484_916363	12.34	62	0.2	1	1	12	1	16	1	1	0	1	2	1	0	850136.75	850136.75	NA	NA	                      graph_bin_annot3(4,848000,851000,c(1,2,5,6))		Full Conversion	374	9.8014	6.8412	9.5048	18.0893	0
30	EA1	1500	EA	1	4	915507	916363	919279	919709	915935	919494	(5:3)_(4:4)_(5:3a)_(4:4)_(2:6)_(3:5)_(4:4aCO)	2_nonsis	2917	3559	4201	7	902_922_256_265_274_940	                      0_373_0_0_138_673	1803_1470_513_530_410_1208	915507_916363_917683_917833_918196_918501_919279	916363_917310_917833_918196_918363_918606_919709	916363_917683_917833_918196_918501_919279_992912	917310_917833_918196_918363_918606_919709_992975	118.94	350	0.34	18	1_3_1_1_4_8	8_8_7_7_56_8	3	20	1	1	0	2	2	1	1	917714.5	917714.5	NA	NA	                      graph_bin_annot3(4,914000,920000,c(5,6,7,8))		Two-Sided Bidirectional	2100.5	214.9887	208.8542	210.4513	113.9949	4.1626
28	EA1	1500	EA	1	4	620963	621879	623197	623798	621421.25	623497.25	(2:6)_(5:3)_(4:4ai)_(3:5)_(4:4bCO)	2_nonsis	1319	2076	2834	5	1275_74_75_653	                      772_0_0_306	1778_147_150_1000	620963_622651_622741_622798_623197	621879_622741_622798_622891_623798	622651_622741_622798_623197_849735	622741_622798_622891_623798_850164	551.28	236	2.34	10	4_1_1_4	56_256_5_6	3	21	1	1	0	2	2	1	1	622459.25	622459.25	NA	NA	                      graph_bin_annot3(4,619000,624000,c(1,2,5,6))		Sym 4:4	1417	232.0582	217.1044	322.8652	739.7956	2.0664
48	EA1	1500	EA	1	5	372082	372263	373416	373442	372172.75	373428.75	2:6_3:5	1	1154	1256	1359	2	298_958	                      191_929	405_988	372082_372454_373416	372263_372487_373442	372454_373416_416514	372487_373442_416544	193.47	113	1.71	11	3_8	56_5	1	8	1	0	1	1	1	1	1	372800.75	372800.75	NA	NA	                      graph_bin_annot3(5,371000,374000,c(5,6))		Full Conversion	679.5	196.756	175.6219	172.4857	98.1772	2.8882
47	EA1	1500	EA	1	5	334750	335065	336702	336936	334907.25	336819.25	(5:3)_(6:2)_(5:3a)_(4:4aCO)	2_nonsis	1638	1912	2185	4	252_684_976	                      0_558_828	504_809_1124	334750_335065_335812_336702	335065_335254_335874_336936	335065_335812_336702_372082	335254_335874_336936_372263	1209.67	182	6.65	16	1_11_4	5_6_7	2	32	1	1	0	1	1	0	0	335863.25	335863.25	NA	NA	                      graph_bin_annot3(5,333000,337000,c(5,6,7,8))		Two-Sided Unidirectional	1092.5	811.4252	925.0259	1096.8022	2584.5572	20.1906
45	EA1	1500	EA	1	5	259785	259981	261345	261627	259883	261486	(6:2)_(4:4)_(6:2)_(4:4aCO)_(5:3)_(4:4a)_(3:5)_(2:6)_(3:5)_(4:4a)	2_nonsis	1365	1603	1841	10	270_72_369_123_104_164_262_70_170	                      145_0_242_23_0_0_131_0_13	394_143_496_223_207_328_394_139_328	259785_260126_260179_260511_260698_260734_260905_261193_261299_261345	259981_260179_260269_260675_260734_260905_261062_261299_261332_261627	260126_260179_260511_260698_260734_260905_261193_261299_261345_267673	260179_260269_260675_260734_260905_261062_261299_261332_261627_268597	149.54	153	0.98	19	6_1_3_2_1_1_2_1_2	12_12_12_56_6_6_2_1_1	3	20	1	1	0	2	2	1	1	260684.5	260684.5	NA	NA	                      graph_bin_annot3(5,258000,262000,c(1,2,5,6))		One-Sided Bidirectional	920.5	171.5592	179.917	137.6509	238.1906	2.13
62	EA1	1500	EA	1	7	902479	902661	902661	903030	902569.75	902845.75	(6:2)_(4:4aCO)	2_nonsis	1	276	550	2	276	0	551	902479_902661	902661_903030	902661_1011510	903030_1012069	28.13	46	0.61	1	1	56	1	15	1	1	0	1	2	1	0	902707.75	902707.75	NA	NA	                      graph_bin_annot3(7,901000,904000,c(1,2,5,6))		Full Conversion	275	26.6287	30.3174	28.7995	54.0725	0
60	EA1	1500	EA	1	7	717846	718302	719309	719334	718073.75	719321.75	(5:3)_(4:4)_(6:2)_(4:4)_(6:2)_(5:3a)_(4:4aCO)	2_nonsis	1008	1248	1487	7	360_232_30_164_367_95	                      24_115_0_88_230_0	696_349_60_239_504_190	717846_718326_718657_718675_718805_719144_719309	718302_718542_718675_718717_718914_719309_719334	718326_718657_718675_718805_719144_719309_832769	718542_718675_718717_718914_719309_719334_832872	45.9	124	0.37	22	2_4_1_3_11_1	2_2_12_12_12_7	2	32	1	1	0	1	1	0	0	718697.75	718697.75	NA	NA	                      graph_bin_annot3(7,716000,720000,c(1,2,7,8))		Two-Sided Unidirectional	743.5	48.3905	38.3008	39.8044	8.6787	0.2692
55	EA1	1500	EA	1	7	146595	146946	147855	148827	146770.75	148340.75	(5:3)_(6:2)_(5:3)_(3:5)_(4:4aCO)	2_nonsis	910	1570	2231	5	680_62_132_696	                      481_3_56_169	879_120_209_1224	146595_147427_147477_147603_147855	146946_147474_147547_147686_148827	147427_147477_147603_147855_297805	147474_147547_147686_148827_299192	112.53	186	0.61	12	4_2_3_3	7_8_8_12	3	20	1	1	0	2	2	1	1	147555.75	147555.75	NA	NA	                      graph_bin_annot3(7,145000,149000,c(1,2,7,8))		One-Sided Bidirectional	1115.5	241.0016	207.0599	217.8912	29.2756	1.4146
69	EA1	1500	EA	1	8	362833	363155	365208	365964	362994	365586	(2:6)_(3:5)_(4:4aCO)	2_nonsis	2054	2592	3130	3	396_2196	                      0_1582	793_2809	362833_363155_365208	363155_363626_365964	363155_365208_516318	363626_365964_516468	49.85	261	0.19	21	1_20	78_7	1	10	1	1	0	1	1	0	0	364290	364290	NA	NA	                      graph_bin_annot3(8,361000,366000,c(3,4,7,8))		One-Sided Unidirectional	1565	56.3802	53.8317	62.0784	51.5378	0.2416
70	EA1	1500	EA	1	8	516318	516468	516616	516651	516393.25	516633.25	(6:2)_(4:4aCO)	2_nonsis	149	240	332	2	240	148	333	516318_516616	516468_516651	516616_525457	516651_525472	294.64	28	10.66	2	2	12	1	15	1	1	0	1	2	1	0	516513.25	516513.25	NA	NA	                      graph_bin_annot3(8,515000,517000,c(1,2,3,4))		Full Conversion	166	334.103	214.7318	340.4873	136.1103	14.5642
67	EA1	1500	EA	1	8	242062	242119	244579	244894	242090.5	244736.5	(3:5)_(4:4)_(3:5a)_(2:6)_(3:5)_(5:3)_(4:4aCO)	2_nonsis	2461	2646	2831	7	296_284_395_478_398_795	                      181_52_0_0_0_468	412_516_790_956_795_1122	242062_242300_242526_242816_243316_243772_244579	242119_242474_242816_243316_243772_244111_244894	242300_242526_242816_243316_243772_244579_248394	242474_242816_243316_243772_244111_244894_248547	90.81	236	0.39	14	5_3_1_1_1_3	5_5_6_5_6_78	3	20	1	1	0	2	2	1	1	243413.5	243413.5	NA	NA	                      graph_bin_annot3(8,241000,245000,c(5,6,7,8))		Two-Sided Bidirectional	1415.5	105.635	114.1153	92.4855	373.7914	0.8074
71	EA1	1500	EA	1	9	53832	54480	55716	56514	54156	56115	(5:3)_(6:2)_(4:4)_(4:4aCO)	2_nonsis	1237	1959	2681	4	620_386_954	                      0_0_465	1239_771_1443	53832_54480_55071_55716	54480_55071_55251_56514	54480_55071_55716_159685	55071_55251_56514_160007	2290.03	223	10.26	7	1_1_5	1_2_12	1	12	1	1	0	1	1	0	0	55135.5	55135.5	NA	NA	                      graph_bin_annot3(9,52000,57000,c(1,2,7,8))		One-Sided Unidirectional	1340.5	2220.5177	2058.1714	1835.8365	1413.4307	56.367
76	EA1	1500	EA	1	9	424776	424866	427210	428011	424820.75	427610.75	(5:3)_(6:2)_(5:3a)_(5:3b)_(4:4aCO)	3	2345	2790	3234	0	201_337_224_2028	                      114_247_139_1590	288_427_309_2465	424776_424980_425311_425546_427210	424866_425064_425407_425620_428011	424980_425311_425546_427210_430585	425064_425407_425620_428011_439888	23.2	269	0.09	41	3_10_4_24	1_2_5_58	0	2	2	1	1	2	2	1	1	426215.75	425518.25	426913.25	NA	                      graph_bin_annot3(9,423000,429000,c(1,2,5,6,7,8))		>2 Chr CO	1617	79.3074	63.3359	37.7823	22.2544	0.2064
81	EA1	1500	EA	1	10	311915	312326	312728	312940	312120.25	312834.25	5:3_6:2_5:3	1	403	714	1024	3	474_126_114	                      156_5_0	791_246_229	311915_312482_312711_312728	312326_312706_312728_312940	312482_312711_312728_328971	312706_312728_312940_329633	226.54	85	2.66	8	3_4_1	2_1_1	1	3	1	0	1	1	1	1	1	312477.25	312477.25	NA	NA	                      graph_bin_annot3(10,310000,313000,c(1,2))		One-Sided + patch	512	253.8576	251.4441	266.0477	138.9609	5.1306
82	EA1	1500	EA	1	10	328971	329633	330191	330470	329302.25	330330.25	(4:4aCO)_(6:2)_(4:4a)	2_nonsis	559	1028	1498	3	794_234	                      368_0	1220_469	328971_330001_330191	329633_330191_330470	330001_330191_466454	330191_330470_467010	198.4	125	1.59	4	3_1	1278_78	1	12	1	1	0	1	1	0	0	329816.25	329816.25	NA	NA	                      graph_bin_annot3(10,327000,331000,c(1,2,7,8))		One-Sided Unidirectional	749	165.1828	155.7978	133.3379	190.052	2.9004
80	EA1	1500	EA	1	10	281289	281583	281676	282456	281436	282066	(6:2)_(4:4aCO)	2_nonsis	94	630	1166	2	630	93	1167	281289_281676	281583_282456	281676_311915	282456_312326	3.45	97	0.04	2	2	78	1	15	1	1	0	1	2	1	0	281751	281751	NA	NA	                      graph_bin_annot3(10,280000,283000,c(1,2,7,8))		Full Conversion	583	6.3848	3.3982	9.9433	6.3079	0
78	EA1	1500	EA	1	10	110925	111085	111408	111784	111005	111596	(2:6)_(4:4aCO)	2_nonsis	324	591	858	2	591	323	859	110925_111408	111085_111784	111408_278226	111784_278337	295.14	71	4.13	7	7	78	1	16	1	1	0	1	2	1	0	111300.5	111300.5	NA	NA	                      graph_bin_annot3(10,109000,112000,c(1,2,7,8))		Full Conversion	429	218.2827	176.0275	182.902	93.7598	2.9296
84	EA1	1500	EA	1	10	553445	554502	555723	556159	553973.25	555941.25	(3:5)_(2:6)_(3:5)_(4:4)_(3:5a)_(3:5b)_(4:4aCO)	2_nonsis	1222	1968	2713	7	838_114_81_82_222_631	                      237_11_42_0_0_265	1439_218_120_163_443_997	553445_554739_554895_554999_555015_555162_555723	554502_554884_554957_555015_555162_555458_556159	554739_554895_554999_555015_555162_555723_639986	554884_554957_555015_555162_555458_556159_640552	238.38	226	1.06	14	4_2_3_1_1_3	2_1_1_2_1_28	2	32	1	1	0	1	1	0	0	554957.25	554957.25	NA	NA	                      graph_bin_annot3(10,552000,557000,c(1,2,7,8))		Two-Sided Unidirectional	1356.5	168.556	165.9929	156.1937	257.1358	0.8
96	EA1	1500	EA	1	11	589828	589939	590994	592478	589883.75	591735.75	(3:5)_(4:4)_(3:5)_(2:6)_(3:5)_(4:4aCO)	2_nonsis	1056	1852	2649	6	70_42_536_345_859	                      0_0_299_18_0	141_84_773_672_1718	589828_589939_589969_590322_590760_590994	589939_589969_590023_590742_590994_592478	589939_589969_590322_590760_590994_613651	589969_590023_590742_590994_592478_613793	274.9	221	1.25	9	1_1_4_2_1	6_6_6_5_5	1	12	1	1	0	1	1	0	0	590809.75	590809.75	NA	NA	                      graph_bin_annot3(11,588000,593000,c(3,4,5,6))		One-Sided Unidirectional	1324.5	302.1876	303.5602	359.3904	87.8359	3.2164
88	EA1	1500	EA	1	11	214124	214537	214600	215474	214330.75	215036.75	(2:6)_(4:4aCO)	2_nonsis	64	706	1349	2	706	63	1350	214124_214600	214537_215474	214600_279467	215474_279551	3.45	112	0.03	2	2	12	1	16	1	1	0	1	2	1	0	214683.75	214683.75	NA	NA	                      graph_bin_annot3(11,213000,216000,c(1,2,5,6))		Full Conversion	674.5	2.0611	1.1363	1.07	2.4909	0
94	EA1	1500	EA	1	11	556863	556988	557299	558102	556925.5	557700.5	(2:6)_(4:4aCO)	2_nonsis	312	775	1238	2	775	311	1239	556863_557299	556988_558102	557299_571329	558102_571872	125.36	103	1.22	4	4	56	1	16	1	1	0	1	2	1	0	557313	557313	NA	NA	                      graph_bin_annot3(11,555000,559000,c(3,4,5,6))		Full Conversion	619	99.9365	100.8029	96.5913	110.6288	0.7506
89	EA1	1500	EA	1	11	279467	279551	280749	280982	279509.25	280865.25	(2:6)_(3:5)_(3:5a)_(4:4)	2_sis	1199	1356	1514	0	444_319_594	                      279_0_281	609_638_906	279467_279830_280076_280749	279551_280076_280468_280982	279830_280076_280749_355654	280076_280468_280982_355841	34.05	126	0.27	8	3_1_4	56_6_58	0	1	2	0	2	2	2	2	2	280187.25	279848.25	280526.25	NA	                      graph_bin_annot3(11,278000,281000,c(5,6,7,8))		2-sis NCO	757	44.4257	42.5421	35.2755	10.6421	0.166
106	EA1	1500	EA	1	12	788874	789356	789623	791142	789114.75	790382.75	3:5_2:6_3:5	1	268	1268	2267	3	379_125_764	                      17_0_0	741_250_1527	788874_789373_789615_789623	789356_789615_789623_791142	789373_789615_789623_791142	789615_789623_791142_794003	702.8	189	3.72	5	3_1_1	7_8_8	1	4	1	0	1	1	1	1	1	789748.75	789748.75	NA	NA	                      graph_bin_annot3(12,787000,792000,c(7,8))		One-Sided + patch	1133.5	550.4722	646.4784	446.3013	317.7843	21.1714
99	EA1	1500	EA	1	12	105323	106427	107894	109073	105875.25	108483.25	(2:6)_(4:4)_(2:6)_(4:4aCO)	2_nonsis	1468	2608	3749	4	740_822_1046	                      0_178_0	1481_1467_2091	105323_106427_106982_107894	106427_106804_107894_109073	106427_106982_107894_147585	106804_107894_109073_148018	359.79	312	1.15	9	1_7_1	78_78_78	1	12	1	1	0	1	1	0	0	107179.25	107179.25	NA	NA	                      graph_bin_annot3(12,104000,110000,c(3,4,7,8))		One-Sided Unidirectional	1874.5	277.1282	250.0172	280.1242	256.5514	5.0632
102	EA1	1500	EA	1	12	326981	327112	327112	327373	327046.5	327242.5	(6:2)_(4:4aCO)	2_nonsis	1	196	391	2	196	0	392	326981_327112	327112_327373	327112_341507	327373_341678	1.97	33	0.06	1	1	12	1	15	1	1	0	1	2	1	0	327144.5	327144.5	NA	NA	                      graph_bin_annot3(12,325000,328000,c(1,2,5,6))		Full Conversion	195.5	2.6486	0.9341	2.1794	1.1005	0
110	EA1	1500	EA	1	12	1028133	1028477	1028477	1028782	1028305.25	1028629.25	(2:6)_(4:4aCO)	2_nonsis	1	324	648	2	324	0	649	1028133_1028477	1028477_1028782	1028477_1059350	1028782_1078177	170.77	54	3.16	1	1	12	1	16	1	1	0	1	2	1	0	1028467.25	1028467.25	NA	NA	                      graph_bin_annot3(12,1027000,1029000,c(1,2,3,4))		Full Conversion	324	171.5757	194.9723	234.4437	231.7253	2.1154
101	EA1	1500	EA	1	12	318672	319635	319635	320465	319153.75	320049.75	(2:6)_(4:4aCO)	2_nonsis	1	896	1792	2	896	0	1793	318672_319635	319635_320465	319635_326981	320465_327112	401.25	149	2.69	1	1	12	1	16	1	1	0	1	2	1	0	319601.75	319601.75	NA	NA	                      graph_bin_annot3(12,317000,321000,c(1,2,5,6))		Full Conversion	896	485.9753	523.3748	325.3622	645.1282	8.5054
116	EA1	1500	EA	1	13	434413	434450	434450	434538	434431.75	434493.75	2:6	1	1	62	124	1	62	0	125	434413_434450	434450_434538	434450_491129	434538_491444	255.65	10	24.77	1	1	12	1	10.1	1	0	1	1	1	1	1	434462.75	434462.75	NA	NA	                      graph_bin_annot3(13,433000,435000,c(1,2))		Full Conversion	62	221.5385	361.0139	291.8182	165.129	19.2132
122	EA1	1500	EA	1	13	767080	767539	769925	769952	767309.5	769938.5	(5:3)_(6:2)_(4:4aCO)	2_nonsis	2387	2629	2871	3	1194_1434	                      955_1411	1434_1458	767080_768494_769925	767539_768514_769952	768494_769925_778144	768514_769952_778647	15.79	239	0.07	41	15_26	8_7	1	7	1	1	0	1	1	0	0	768624	768624	NA	NA	                      graph_bin_annot3(13,766000,770000,c(3,4,7,8))		One-Sided Unidirectional	1435.5	23.8672	18.231	24.2681	20.8753	0
121	EA1	1500	EA	1	13	713980	715257	715643	715773	714618.25	715708.25	(6:2)_(5:3)_(4:4aCO)	2_nonsis	387	1090	1792	3	832_258	                      0_0	1663_516	713980_715257_715643	715257_715643_715773	715257_715643_767080	715643_715773_767539	985.11	149	6.6	2	1_1	56_7	1	8	1	1	0	1	1	0	0	715163.25	715163.25	NA	NA	                      graph_bin_annot3(13,712000,716000,c(5,6,7,8))		One-Sided Unidirectional	896	900.6857	903.7085	877.2176	867.2652	44.9314
123	EA1	1500	EA	1	13	778144	778647	779842	780100	778395.25	779971.25	(3:5)_(2:6)_(4:4aCO)	2_nonsis	1196	1576	1955	3	1341_234	                      984_0	1698_469	778144_779631_779842	778647_779842_780100	779631_779842_860181	779842_780100_861184	114.01	163	0.7	4	3_1	6_5	1	9	1	1	0	1	1	0	0	779183.25	779183.25	NA	NA	                      graph_bin_annot3(13,777000,781000,c(3,4,5,6))		One-Sided Unidirectional	977.5	160.9828	161.0705	186.6314	224.913	1.4188
113	EA1	1500	EA	1	13	228183	228217	229206	229539	228200.25	229372.25	(3:5)_(4:4)_(2:6)_(4:4aCO)	2_nonsis	990	1172	1355	4	412_442_319	                      105_0_0	718_884_638	228183_228322_228901_229206	228217_228901_229206_229539	228322_228901_229206_302628	228901_229206_229539_303266	102.16	113	0.91	4	2_1_1	6_6_56	1	12	1	1	0	1	1	0	0	228786.25	228786.25	NA	NA	                      graph_bin_annot3(13,227000,230000,c(1,2,5,6))		One-Sided Unidirectional	677.5	129.2587	146.2538	171.2827	95.9946	0.5634
118	EA1	1500	EA	1	13	513553	513778	515790	516109	513665.5	515949.5	(3:5)_(4:4)_(3:5)_(2:6)_(4:4aCO)	2_nonsis	2013	2284	2555	5	260_896_761_367	                      0_358_163_0	520_1434_1359_734	513553_513778_514431_515375_515790	513778_514073_515212_515790_516109	513778_514431_515375_515790_645425	514073_515212_515790_516109_645754	466.89	213	2.19	14	1_7_5_1	1_1_1_2	1	12	1	1	0	1	1	0	0	514807.5	514807.5	NA	NA	                      graph_bin_annot3(13,512000,517000,c(1,2,5,6))		One-Sided Unidirectional	1277.5	412.0201	521.3902	444.4109	153.3604	15.9274
112	EA1	1500	EA	1	13	164532	165032	170002	171275	164782.25	170638.25	(3:5)_(4:4)_(3:5)_(2:6)_(3:5a)_(4:4aCO)	3	4971	5856	6742	0	2700_1379_342_558_877	                      2412_1317_0_0_1	2989_1441_684_1116_1753	164532_167444_168838_168885_169522_170002	165032_167521_168885_169522_170001_171275	167444_168838_168885_169522_170002_228183	167521_168885_169522_170001_171275_228217	1836.46	561	3.27	30	9_17_1_1_2	8_8_8_7_2	0	2	2	1	1	2	2	1	1	167710.25	166246.25	169174.25	NA	                      graph_bin_annot3(13,163000,172000,c(1,2,5,6,7,8))		>2 Chr CO	3371	1590.6088	1652.9445	1718.8402	3390.3037	25.5448
127	EA1	1500	EA	1	14	365847	366158	366762	367502	366002.25	367132.25	(6:2)_(4:4)_(4:4aCO)	2_nonsis	605	1130	1654	3	367_762	                      0_181	734_1344	365847_366158_366762	366158_366581_367502	366158_366762_425816	366581_367502_427278	962.4	138	6.99	3	1_2	56_56	1	12	1	1	0	1	1	0	0	366567.25	366567.25	NA	NA	                      graph_bin_annot3(14,364000,368000,c(3,4,5,6))		One-Sided Unidirectional	827	824.7086	743.8838	783.3599	430.363	11.011
125	EA1	1500	EA	1	14	52243	52659	54935	54995	52451	54965	(2:6)_(4:4aCO)_(3:5)_(4:4a)	2_nonsis	2277	2514	2751	4	744_830_940	                      266_423_773	1222_1237_1107	52243_52925_53888_54935	52659_53465_54162_54995	52925_53888_54935_232914	53465_54162_54995_233237	312.41	229	1.36	15	3_5_7	12_56_5	1	12	1	1	0	1	1	0	0	53708	53708	NA	NA	                      graph_bin_annot3(14,51000,55000,c(1,2,5,6))		One-Sided Unidirectional	1375.5	538.6299	454.7536	348.53	207.8529	9.3966
