SID	len_mid	len_min	len_max	type	Sp_Aff	seg_SNPs	start5	start3	stop5	stop3	event_snp	LocalEventHpM_NWT	LocalEventHpM_Ntel	LocalEventHpM_Ntkd	LocalEventHpM_SFA	LocalEventHpM_DC	total_nb_seg	Event_len_max	Event_len_mid	Event_len_min	nb_62_seg	LCO	chr	Meiosis	EID	EventSpAff	LSB	LNCO	groupe	classe	Event_type	debut	fin
16	786	622	950	3:5	2	7	33358	33548	34170	34308	22	229.8643	225.7723	258.692	362.8111	8.6978	6	1424	1304	1185	1	0	1	OM5	1	2_1_12_2_2_2	1	1	1	4	3:5_2:6_4:4_3:5_4:4_3:5	32934.75	34238.75
17	107	                      0	214	(5:3)	3	1	55793	55914	55914	56007	9	165.6825	134.0756	174.8926	136.0853	1.282	3	1945	1744	1542	1	1	1	OM6	1	3_4_5	1	0	2	32	(5:3)_(6:2)_(5:3a)_(4:4aCO)	55853.25	57597.25
18	1160	779	1541	(6:2)	4	7	55914	56007	56786	57455	9	165.6825	134.0756	174.8926	136.0853	1.282	3	1945	1744	1542	1	1	1	OM6	1	3_4_5	1	0	2	32	(5:3)_(6:2)_(5:3a)_(4:4aCO)	55853.25	57597.25
19	476	0	953	(5:3a)	5	1	56786	57455	57455	57739	9	165.6825	134.0756	174.8926	136.0853	1.282	3	1945	1744	1542	1	1	1	OM6	1	3_4_5	1	0	2	32	(5:3)_(6:2)_(5:3a)_(4:4aCO)	55853.25	57597.25
20	30	                      6	55	5:3	3	2	30493	30516	30522	30548	13	0.6653	0.2184	1.4076	0.6886	0	4	168	148	129	1	0	1	OM7	1	3_3_34_4	1	1	1	3	5:3_4:4_6:2_5:3	30504.75	30652.75
21	72	54	91	4:4	3	7	30522	30548	30602	30613	13	0.6653	0.2184	1.4076	0.6886	0	4	168	148	129	1	0	1	OM7	1	3_3_34_4	1	1	1	3	5:3_4:4_6:2_5:3	30504.75	30652.75
22	26	11	42	6:2	34	3	30602	30613	30624	30644	13	0.6653	0.2184	1.4076	0.6886	0	4	168	148	129	1	0	1	OM7	1	3_3_34_4	1	1	1	3	5:3_4:4_6:2_5:3	30504.75	30652.75
23	19	0	38	5:3	4	1	30624	30644	30644	30662	13	0.6653	0.2184	1.4076	0.6886	0	4	168	148	129	1	0	1	OM7	1	3_3_34_4	1	1	1	3	5:3_4:4_6:2_5:3	30504.75	30652.75
24	628	                      188	1068	(4:4aCO)	1278	4	67801	68551	68739	68869	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
25	232	90	373	(2:6)	78	2	68739	68869	68959	69112	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
26	160	0	321	(4:4a)	78	1	68959	69112	69112	69280	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
27	344	123	565	(2:6)	78	2	69112	69280	69403	69677	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
28	159	0	318	(3:5)	8	1	69403	69677	69677	69721	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
29	167	13	321	(3:5a)	78	2	69677	69721	69734	69998	12	1915.8963	2056.6269	2009.6831	1104.6588	71.7362	6	2196	1690	1184	2	1	1	OM9	1	1278_78_78_78_8_78	1	0	2	31	(4:4aCO)_(2:6)_(4:4a)_(2:6)_(3:5)_(3:5a)_(4:4a)	68176	69866
30	3974	                      119	7828	(5:3)	1	2	121235	128637	128756	129063	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	6584	2339	1	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	124936.25	131520.25
31	366	12	720	(6:2)	2	2	128756	129063	129075	129476	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	6584	2339	1	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	124936.25	131520.25
32	610	41	1179	(5:3a)	7	2	129075	129476	129517	130254	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	6584	2339	1	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	124936.25	131520.25
33	684	108	1259	(3:5)	58	3	129517	130254	130362	130776	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	6584	2339	1	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	124936.25	131520.25
34	952	199	1704	(3:5a)	56	3	130362	130776	130975	132066	12	3710.919	3138.7466	4767.0535	2050.9284	171.8006	5	10830	6584	2339	1	1	1	OM9	2	1_2_7_58_56	2	1	0	2	(5:3)_(6:2)_(5:3a)_(3:5)_(3:5a)_(4:4aCO)	124936.25	131520.25
35	57	                      0	114	5:3	4	1	191704	191755	191755	191818	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
36	208	0	415	4:4	4	1	191755	191818	191818	192170	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
37	466	26	905	6:2	34	2	191818	192170	192196	192723	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
38	468	0	935	4:4	34	1	192196	192723	192723	193131	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
39	298	60	537	5:3a	3	2	192723	193131	193191	193260	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
40	1488	1365	1612	4:4ai	8	14	193191	193260	194625	194803	21	1030.2768	1214.6513	1058.8201	299.1579	32.9058	6	3098	2984	2871	1	0	1	OM2	3	4_4_34_34_3_8	1	1	3	31	5:3_4:4_6:2_4:4_5:3a_4:4ai	191729.75	194713.75
41	378	                      258	499	(3:5)	1	3	81731	81841	82099	82230	9	775.244	604.4979	783.6251	584.2571	32.2774	3	2314	2044	1773	1	1	1	OM5	3	1_2_234	1	0	3	20	(3:5)_(2:6)_(5:3)_(4:4aCO)	81785.75	83829.75
42	832	149	1514	(2:6)	2	5	82099	82230	82379	83613	9	775.244	604.4979	783.6251	584.2571	32.2774	3	2314	2044	1773	1	1	1	OM5	3	1_2_234	1	0	3	20	(3:5)_(2:6)_(5:3)_(4:4aCO)	81785.75	83829.75
43	834	0	1667	(5:3)	234	1	82379	83613	83613	84046	9	775.244	604.4979	783.6251	584.2571	32.2774	3	2314	2044	1773	1	1	1	OM5	3	1_2_234	1	0	3	20	(3:5)_(2:6)_(5:3)_(4:4aCO)	81785.75	83829.75
44	610	                      41	1179	(5:3)	4	2	129075	129476	129517	130254	8	3319.3756	2792.9328	4294.8491	1711.3339	167.7656	4	2990	2245	1500	1	0	1	OM7	3	4_4_8_7	2	2	0	1	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4)	129275.5	131520.5
45	684	108	1259	(4:4)	4	3	129517	130254	130362	130776	8	3319.3756	2792.9328	4294.8491	1711.3339	167.7656	4	2990	2245	1500	1	0	1	OM7	3	4_4_8_7	2	2	0	1	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4)	129275.5	131520.5
46	268	0	535	(5:3a)	8	1	130362	130776	130776	130897	8	3319.3756	2792.9328	4294.8491	1711.3339	167.7656	4	2990	2245	1500	1	0	1	OM7	3	4_4_8_7	2	2	0	1	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4)	129275.5	131520.5
47	684	78	1290	(6:2)	7	2	130776	130897	130975	132066	8	3319.3756	2792.9328	4294.8491	1711.3339	167.7656	4	2990	2245	1500	1	0	1	OM7	3	4_4_8_7	2	2	0	1	(5:3)_(4:4)_(5:3a)_(6:2)_(4:4)	129275.5	131520.5
48	80	                      0	159	(5:3)	7	1	190429	190558	190558	190588	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
49	32	0	63	(6:2)	8	1	190558	190588	190588	190621	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
50	1390	1197	1582	(5:3)	8	7	190588	190621	191818	192170	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
51	466	26	905	(4:4aCO)	128	2	191818	192170	192196	192723	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
52	1039	537	1541	(3:5)	6	4	192196	192723	193260	193737	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
53	274	0	547	(5:3a)	46	1	193260	193737	193737	193807	16	2131.5061	2513.3463	2015.203	1604.8689	76.9588	6	3377	3278	3180	1	1	1	OM9	3	7_8_8_128_6_46	2	1	0	2	(5:3)_(6:2)_(5:3)_(4:4aCO)_(3:5)_(5:3a)_(4:4a)	190493.75	193771.75
54	309	                      156	462	(2:6)	34	2	69355	69616	69772	69817	6	485.042	451.1441	138.2654	223.6739	9.0892	3	650	468	286	1	1	2	OM2	4	34_38_7	1	0	3	21	(2:6)_(4:4ai)_(5:3)_(4:4bCO)	69485.5	69953.5
55	76	23	129	(4:4ai)	38	3	69772	69817	69840	69901	6	485.042	451.1441	138.2654	223.6739	9.0892	3	650	468	286	1	1	2	OM2	4	34_38_7	1	0	3	21	(2:6)_(4:4ai)_(5:3)_(4:4bCO)	69485.5	69953.5
56	83	0	166	(5:3)	7	1	69840	69901	69901	70006	6	485.042	451.1441	138.2654	223.6739	9.0892	3	650	468	286	1	1	2	OM2	4	34_38_7	1	0	3	21	(2:6)_(4:4ai)_(5:3)_(4:4bCO)	69485.5	69953.5
57	1326	                      693	1959	5:3	7	6	82573	83659	84352	84532	12	154.3725	127.0459	65.846	27.3922	2.6324	4	2288	1726	1165	1	0	2	OM6	6	7_7_78_7	1	1	2	23	5:3_4:4_6:2_5:3a	83116.25	84842.25
58	100	0	201	4:4	7	1	84352	84532	84532	84553	12	154.3725	127.0459	65.846	27.3922	2.6324	4	2288	1726	1165	1	0	2	OM6	6	7_7_78_7	1	1	2	23	5:3_4:4_6:2_5:3a	83116.25	84842.25
59	28	0	57	6:2	78	1	84532	84553	84553	84589	12	154.3725	127.0459	65.846	27.3922	2.6324	4	2288	1726	1165	1	0	2	OM6	6	7_7_78_7	1	1	2	23	5:3_4:4_6:2_5:3a	83116.25	84842.25
60	272	234	309	5:3a	7	4	84553	84589	84823	84862	12	154.3725	127.0459	65.846	27.3922	2.6324	4	2288	1726	1165	1	0	2	OM6	6	7_7_78_7	1	1	2	23	5:3_4:4_6:2_5:3a	83116.25	84842.25
61	664	                      454	874	3:5	2	7	195324	195456	195910	196198	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
62	165	0	330	2:6	1	1	195910	196198	196198	196240	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
63	654	621	686	3:5	1	22	196198	196240	196861	196884	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
64	116	69	163	2:6	1	7	196861	196884	196953	197024	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
65	480	242	717	3:5	1	7	196953	197024	197266	197670	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
66	266	25	506	2:6	1	3	197266	197670	197695	197772	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
67	402	341	462	3:5	1	9	197695	197772	198113	198157	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
68	28	0	55	2:6	1	1	198113	198157	198157	198168	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
69	246	230	261	3:5	1	13	198157	198168	198398	198418	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
70	31	4	58	2:6	1	2	198398	198418	198422	198456	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
71	22	0	45	3:5	1	1	198422	198456	198456	198467	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
72	242	232	251	2:6	1	23	198456	198467	198699	198707	96	165.129	166.0938	218.3499	47.6713	4.439	12	3382	3313	3244	6	0	1	OM7	6	2_1_1_1_1_1_1_1_1_1_1_1	1	1	1	8	3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6_3:5_2:6	195390	198703
73	119	                      0	238	2:6	56	1	79121	79329	79329	79359	2	24.5859	18.2139	9.2092	20.8904	0	2	1451	741	31	1	0	2	OM9	6	56_5	1	1	1	8	2:6_3:5	79225	79966
74	622	0	1244	3:5	5	1	79329	79359	79359	80573	2	24.5859	18.2139	9.2092	20.8904	0	2	1451	741	31	1	0	2	OM9	6	56_5	1	1	1	8	2:6_3:5	79225	79966
75	387	                      283	491	(3:5)	3	7	86293	86416	86699	86784	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	1573	1418	2	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	86354.5	87927.5
76	158	0	317	(2:6)	4	1	86699	86784	86784	87016	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	1573	1418	2	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	86354.5	87927.5
77	633	278	988	(3:5)	4	3	86784	87016	87294	87772	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	1573	1418	2	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	86354.5	87927.5
78	394	61	728	(6:2)	378	3	87294	87772	87833	88022	14	35.0768	37.0921	18.3356	27.4021	0	4	1728	1573	1418	2	1	2	OM3	7	3_4_4_378	1	0	3	20	(3:5)_(2:6)_(3:5)_(6:2)_(4:4aCO)	86354.5	87927.5
79	647	                      395	899	(2:6)	56	5	110746	110917	111312	111645	18	48.0229	38.6492	28.0499	153.4699	0	2	2489	2128	1768	1	1	2	OM4	7	56_7	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	110831.75	112959.75
80	1482	1039	1924	(3:5)	7	13	111312	111645	112684	113236	18	48.0229	38.6492	28.0499	153.4699	0	2	2489	2128	1768	1	1	2	OM4	7	56_7	1	0	1	10	(2:6)_(3:5)_(4:4aCO)	110831.75	112959.75
81	2084	                      1026	3143	(5:3)	5	7	37628	39234	40260	40771	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
82	696	353	1038	(5:3a)	16	7	40260	40771	41124	41298	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
83	262	165	360	(6:2)	1	2	41124	41298	41463	41484	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
84	978	703	1254	(5:3a)	1	7	41463	41484	42187	42717	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
85	1439	1057	1821	(4:4aCO)	2	8	42187	42717	43774	44008	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
86	238	39	436	(6:2a)	78	3	43774	44008	44047	44210	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
87	914	799	1028	(5:3b)	5	4	44047	44210	45009	45075	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
88	130	0	260	(6:2a)	5	1	45009	45075	45075	45269	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
89	1042	555	1528	(5:3b)	5	5	45075	45269	45824	46603	44	742.2712	577.6342	201.8673	423.3465	5.8566	9	8974	7782	6591	3	1	2	OM7	7	5_16_1_1_2_78_5_5_5	2	1	0	3	(5:3)_(5:3a)_(6:2)_(5:3a)_(4:4aCO)_(6:2a)_(5:3b)_(6:2a)_(5:3b)_(4:4bCO)	38431.25	46213.25
90	512	                      387	638	(5:3)	5	2	70638	70774	71161	71276	17	1614.7235	1690.0984	720.9849	1636.0773	46.9486	5	1756	1608	1460	1	1	2	OM1	8	5_3_4_5_5	1	0	3	21	(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	70706	72314
91	268	144	392	(4:4ai)	3	3	71161	71276	71420	71553	17	1614.7235	1690.0984	720.9849	1636.0773	46.9486	5	1756	1608	1460	1	1	2	OM1	8	5_3_4_5_5	1	0	3	21	(5:3)_(4:4ai)_(3:5)_(2:6)_(3:5)_(4:4bCO)	70706	72314
